gas_type,Propellant,P_t_init,P_amb,T_t_init,vol,d_star,half_angle,expansion_ratio
CO2,CO$_{2}$,789607.7660050761,101352.972,273.14895758683167,3e-05,0.0006,10,1.17
R134a,R134a,572998.0163911713,0.0,293.15151206425054,1e-05,0.0002,10,30.0
