Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
217.00	0.020327	1463.6	0.00068324	128.07	128.09	0.70656	0.81638	1.2286	884.32	-0.32536	614.57	0.11871	0.020172	1.1659	0.85769	346.31	363.75	1.7926	0.61318	0.70270	140.32	77.190	8.6654	0.0068658
218.00	0.021627	1460.8	0.00068455	129.30	129.32	0.71221	0.81735	1.2301	879.49	-0.32364	603.46	0.11819	0.020010	1.2356	0.80933	346.88	364.38	1.7905	0.61557	0.70541	140.55	75.598	8.7032	0.0069465
219.00	0.022995	1458.0	0.00068587	130.53	130.55	0.71784	0.81832	1.2316	874.67	-0.32188	592.65	0.11768	0.019849	1.3086	0.76419	347.44	365.02	1.7885	0.61796	0.70815	140.78	74.064	8.7410	0.0070272
220.00	0.024433	1455.2	0.00068719	131.76	131.78	0.72345	0.81930	1.2332	869.85	-0.32011	582.15	0.11717	0.019688	1.3850	0.72202	348.01	365.65	1.7865	0.62036	0.71090	141.01	72.584	8.7786	0.0071080
221.00	0.025943	1452.4	0.00068853	133.00	133.01	0.72905	0.82029	1.2347	865.05	-0.31830	571.94	0.11666	0.019527	1.4650	0.68259	348.58	366.29	1.7846	0.62276	0.71367	141.23	71.155	8.8163	0.0071887
222.00	0.027529	1449.6	0.00068987	134.23	134.25	0.73462	0.82129	1.2363	860.25	-0.31647	561.99	0.11615	0.019367	1.5487	0.64571	349.15	366.92	1.7827	0.62517	0.71646	141.44	69.775	8.8538	0.0072696
223.00	0.029194	1446.7	0.00069121	135.47	135.49	0.74018	0.82230	1.2378	855.46	-0.31462	552.32	0.11564	0.019207	1.6362	0.61118	349.71	367.56	1.7808	0.62759	0.71927	141.66	68.442	8.8914	0.0073504
224.00	0.030940	1443.9	0.00069257	136.71	136.73	0.74572	0.82331	1.2394	850.67	-0.31273	542.90	0.11514	0.019047	1.7276	0.57884	350.28	368.19	1.7790	0.63002	0.72210	141.87	67.152	8.9288	0.0074313
225.00	0.032769	1441.1	0.00069393	137.95	137.97	0.75124	0.82432	1.2410	845.90	-0.31082	533.72	0.11464	0.018887	1.8231	0.54853	350.85	368.83	1.7773	0.63245	0.72495	142.08	65.905	8.9662	0.0075122
226.00	0.034686	1438.2	0.00069530	139.19	139.21	0.75675	0.82535	1.2426	841.13	-0.30888	524.78	0.11413	0.018728	1.9227	0.52010	351.42	369.46	1.7756	0.63489	0.72782	142.28	64.699	9.0036	0.0075932
227.00	0.036694	1435.4	0.00069668	140.43	140.45	0.76223	0.82638	1.2443	836.36	-0.30691	516.07	0.11363	0.018569	2.0267	0.49341	351.99	370.10	1.7739	0.63734	0.73071	142.48	63.530	9.0409	0.0076742
228.00	0.038794	1432.5	0.00069807	141.67	141.70	0.76770	0.82741	1.2459	831.60	-0.30491	507.58	0.11314	0.018410	2.1351	0.46835	352.56	370.73	1.7722	0.63980	0.73362	142.68	62.398	9.0781	0.0077553
229.00	0.040991	1429.7	0.00069947	142.92	142.95	0.77316	0.82846	1.2476	826.85	-0.30288	499.30	0.11264	0.018251	2.2482	0.44480	353.14	371.37	1.7706	0.64226	0.73656	142.87	61.300	9.1153	0.0078364
230.00	0.043287	1426.8	0.00070088	144.17	144.20	0.77859	0.82950	1.2492	822.11	-0.30082	491.22	0.11214	0.018093	2.3660	0.42266	353.71	372.00	1.7691	0.64473	0.73952	143.06	60.236	9.1524	0.0079176
231.00	0.045686	1423.9	0.00070229	145.42	145.45	0.78401	0.83056	1.2509	817.37	-0.29873	483.34	0.11165	0.017935	2.4886	0.40183	354.28	372.64	1.7675	0.64721	0.74251	143.24	59.203	9.1895	0.0079988
232.00	0.048192	1421.0	0.00070372	146.67	146.70	0.78942	0.83161	1.2527	812.64	-0.29661	475.65	0.11116	0.017778	2.6163	0.38222	354.85	373.27	1.7660	0.64970	0.74551	143.42	58.201	9.2265	0.0080801
233.00	0.050807	1418.1	0.00070515	147.92	147.96	0.79480	0.83268	1.2544	807.91	-0.29445	468.14	0.11067	0.017620	2.7491	0.36375	355.43	373.91	1.7646	0.65220	0.74855	143.60	57.228	9.2635	0.0081614
234.00	0.053535	1415.2	0.00070659	149.17	149.21	0.80018	0.83375	1.2561	803.19	-0.29227	460.81	0.11018	0.017463	2.8873	0.34635	356.00	374.54	1.7631	0.65471	0.75161	143.78	56.282	9.3004	0.0082428
235.00	0.056380	1412.3	0.00070805	150.43	150.47	0.80553	0.83482	1.2579	798.48	-0.29004	453.64	0.10969	0.017306	3.0309	0.32993	356.57	375.18	1.7617	0.65723	0.75469	143.95	55.363	9.3373	0.0083242
236.00	0.059345	1409.4	0.00070951	151.69	151.73	0.81087	0.83590	1.2597	793.77	-0.28779	446.65	0.10920	0.017150	3.1802	0.31445	357.15	375.81	1.7604	0.65975	0.75780	144.11	54.469	9.3741	0.0084057
237.00	0.062434	1406.5	0.00071098	152.95	152.99	0.81620	0.83698	1.2615	789.07	-0.28549	439.81	0.10872	0.016994	3.3352	0.29983	357.72	376.44	1.7590	0.66229	0.76094	144.27	53.600	9.4109	0.0084873
238.00	0.065651	1403.6	0.00071246	154.21	154.26	0.82151	0.83807	1.2633	784.37	-0.28316	433.12	0.10823	0.016838	3.4962	0.28602	358.30	377.07	1.7577	0.66484	0.76411	144.43	52.755	9.4476	0.0085689
239.00	0.068998	1400.7	0.00071395	155.47	155.52	0.82680	0.83917	1.2651	779.68	-0.28080	426.59	0.10775	0.016682	3.6633	0.27297	358.87	377.70	1.7564	0.66739	0.76730	144.59	51.931	9.4843	0.0086506
240.00	0.072481	1397.7	0.00071545	156.74	156.79	0.83208	0.84026	1.2669	775.00	-0.27839	420.20	0.10727	0.016527	3.8367	0.26064	359.44	378.34	1.7552	0.66996	0.77052	144.73	51.130	9.5209	0.0087324
241.00	0.076102	1394.8	0.00071697	158.00	158.06	0.83735	0.84137	1.2688	770.31	-0.27595	413.94	0.10679	0.016372	4.0166	0.24897	360.02	378.97	1.7540	0.67253	0.77378	144.88	50.349	9.5575	0.0088143
242.00	0.079867	1391.8	0.00071849	159.27	159.33	0.84260	0.84247	1.2707	765.64	-0.27346	407.83	0.10631	0.016217	4.2030	0.23792	360.59	379.60	1.7528	0.67512	0.77706	145.02	49.588	9.5941	0.0088962
243.00	0.083778	1388.8	0.00072002	160.54	160.60	0.84784	0.84359	1.2726	760.97	-0.27094	401.84	0.10584	0.016063	4.3963	0.22746	361.17	380.22	1.7516	0.67771	0.78037	145.16	48.846	9.6306	0.0089783
244.00	0.087840	1385.9	0.00072157	161.81	161.88	0.85306	0.84470	1.2745	756.30	-0.26837	395.98	0.10536	0.015909	4.5965	0.21756	361.74	380.85	1.7505	0.68032	0.78371	145.29	48.123	9.6671	0.0090604
245.00	0.092057	1382.9	0.00072312	163.09	163.15	0.85827	0.84582	1.2765	751.64	-0.26576	390.24	0.10489	0.015755	4.8039	0.20817	362.32	381.48	1.7494	0.68293	0.78708	145.42	47.418	9.7035	0.0091426
246.00	0.096433	1379.9	0.00072469	164.36	164.43	0.86347	0.84695	1.2784	746.98	-0.26311	384.62	0.10441	0.015601	5.0186	0.19926	362.89	382.11	1.7483	0.68556	0.79049	145.54	46.729	9.7400	0.0092249
247.00	0.10097	1376.9	0.00072627	165.64	165.71	0.86865	0.84808	1.2804	742.32	-0.26041	379.11	0.10394	0.015448	5.2408	0.19081	363.46	382.73	1.7473	0.68820	0.79392	145.66	46.058	9.7763	0.0093073
248.00	0.10568	1373.9	0.00072786	166.92	167.00	0.87382	0.84921	1.2824	737.67	-0.25767	373.72	0.10347	0.015295	5.4708	0.18279	364.04	383.36	1.7462	0.69084	0.79739	145.77	45.402	9.8127	0.0093898
249.00	0.11056	1370.9	0.00072946	168.20	168.28	0.87898	0.85035	1.2844	733.03	-0.25488	368.44	0.10300	0.015143	5.7086	0.17517	364.61	383.98	1.7452	0.69350	0.80089	145.88	44.762	9.8490	0.0094724
250.00	0.11561	1367.9	0.00073107	169.48	169.57	0.88413	0.85149	1.2865	728.39	-0.25204	363.25	0.10253	0.014991	5.9546	0.16794	365.19	384.60	1.7443	0.69617	0.80443	145.98	44.137	9.8853	0.0095551
251.00	0.12085	1364.8	0.00073270	170.77	170.86	0.88926	0.85263	1.2885	723.75	-0.24916	358.17	0.10207	0.014839	6.2088	0.16106	365.76	385.22	1.7433	0.69885	0.80800	146.08	43.527	9.9216	0.0096379
252.00	0.12627	1361.8	0.00073433	172.06	172.15	0.89437	0.85378	1.2906	719.11	-0.24622	353.19	0.10160	0.014687	6.4716	0.15452	366.33	385.84	1.7424	0.70153	0.81161	146.18	42.930	9.9578	0.0097209
253.00	0.13188	1358.7	0.00073598	173.34	173.44	0.89948	0.85494	1.2927	714.48	-0.24323	348.31	0.10114	0.014536	6.7430	0.14830	366.90	386.46	1.7415	0.70423	0.81525	146.27	42.347	9.9941	0.0098040
254.00	0.13768	1355.7	0.00073765	174.64	174.74	0.90458	0.85609	1.2949	709.85	-0.24018	343.52	0.10068	0.014385	7.0234	0.14238	367.48	387.08	1.7406	0.70694	0.81892	146.35	41.777	10.030	0.0098872
255.00	0.14368	1352.6	0.00073932	175.93	176.03	0.90966	0.85726	1.2970	705.23	-0.23709	338.81	0.10021	0.014234	7.3129	0.13674	368.05	387.70	1.7397	0.70966	0.82264	146.43	41.220	10.066	0.0099705
256.00	0.14989	1349.5	0.00074101	177.22	177.33	0.91473	0.85842	1.2992	700.61	-0.23393	334.20	0.099753	0.014084	7.6118	0.13138	368.62	388.31	1.7389	0.71239	0.82639	146.51	40.675	10.103	0.010054
257.00	0.15630	1346.4	0.00074272	178.52	178.64	0.91979	0.85959	1.3014	695.99	-0.23072	329.67	0.099294	0.013934	7.9202	0.12626	369.19	388.92	1.7380	0.71513	0.83018	146.58	40.143	10.139	0.010138
258.00	0.16293	1343.3	0.00074444	179.82	179.94	0.92483	0.86077	1.3036	691.37	-0.22745	325.22	0.098835	0.013784	8.2384	0.12138	369.76	389.54	1.7372	0.71789	0.83400	146.64	39.621	10.175	0.010221
259.00	0.16977	1340.2	0.00074617	181.12	181.25	0.92987	0.86195	1.3059	686.76	-0.22412	320.86	0.098378	0.013635	8.5667	0.11673	370.33	390.15	1.7364	0.72065	0.83787	146.70	39.112	10.211	0.010305
260.00	0.17684	1337.1	0.00074791	182.43	182.56	0.93489	0.86313	1.3082	682.14	-0.22073	316.57	0.097922	0.013486	8.9052	0.11229	370.90	390.76	1.7357	0.72342	0.84178	146.75	38.613	10.247	0.010389
