time,iter,P_t,T_t,rho_t,mu_t,h_sp,u_sp,X,Re_up,Nu_up,Pr_up,visc_up,P_t_in,T_t_in,T_in,T_wall,M_in,P_star,T_star,rho_star,Re_star,M_star,v_star,P_exit,T_exit,rho_exit,M_exit,v_exit,c_exit,m_gas,mdot,F_mdotv,F_pdiff,thrust,CF_ideal,visc_losses,CF_eff,eff_thrust,avg_thrust,cum_impulse,cum_eff_impulse,ISP,flow regimes,area ratios at shock,P_fg_t,T_fg_t,P_fg_exit,T_fg_exit,gas_type,Propellant,P_trip,T_trip
3.193954507548854,347,160993.45240732527,263.19196334104623,7.96193781154893,0.12559756477242043,393945.82225469133,373619.6280978334,1.0,1477.662362552474,10.759116590980456,0.7334711416793296,1.0388744719261276e-05,160976.61212986874,275.3309952631325,275.25738434019564,292.97416388606956,0.06489552938237929,93216.7244531016,258.891391878827,4.6489079819315675,14803.639682584064,1,154.19199586329182,635.2753812271726,147.5619120241647,0.05558562252554002,3.692656324330044,429.86199653184013,116.40996582855018,8.917370348934801e-05,0.024050135494021845,0.010259708718190657,0.0006727363327333562,0.010932445050924014,1.923946170250116,0.09056709689625622,1.8333790733538597,0.01041781536660633,0.01821548848634103,58.34710565486254,56.21505462017675,46.33730467043294,Underexpanded,,200292.0061557668,257.91029682145023,33.2336483859657,174.4141782913649,R134a,R134a,389.56,169.85
3.2031589873976976,348,160554.70187959858,263.1100130648605,7.942172723377798,0.12591012998955542,393891.19578902965,373569.0438265406,1.0,1473.322929498896,10.730895806968691,0.7291268142261411,1.039201350705996e-05,160537.8610353163,275.2788319174983,275.20522588462,292.9740626497426,0.06489952299291887,92962.6568631377,258.84234312881836,4.636828854960693,14766.523072611822,1,154.17738880577346,633.5439013235531,147.53395540775833,0.05544119596453889,3.692656324330044,429.8212744510788,116.39893797294037,8.895233450183133e-05,0.023986857799598305,0.010231745286917403,0.000670902750833311,0.010902648037750715,1.9239461702501166,0.0906810483580014,1.8332651218921152,0.010388775264577953,0.018194534788780598,58.447458859025055,56.31067789275373,46.332915002403965,Underexpanded,,199643.6792653485,257.8462168795412,33.13119850553652,174.3879150500995,R134a,R134a,389.56,169.85
3.2123634672465413,349,160117.25644455786,263.02811802080055,7.922459638623022,0.12622342626081298,393836.6145524027,373518.47716892295,1.0,1466.8237522564953,10.702662022342697,0.7167697162747242,1.0410594953008062e-05,160100.4151780943,275.2266851598728,275.1530840215057,292.9739614311948,0.06490351395153274,92709.3450969358,258.7933099763731,4.624781678678737,14729.501879853862,1,154.1627850099463,631.8175723864726,147.50600768159066,0.055297151428508044,3.692656324330044,429.7805614633776,116.38791257980185,8.873154795257784e-05,0.02392376264904873,0.010203865043845467,0.0006690746236422658,0.010872939667487733,1.9239461702501162,0.09079513712609075,1.8331510331240255,0.010359822375882366,0.018173615945576906,58.547538613092144,56.40603466905014,46.32852631456838,Underexpanded,,198949.23732044554,257.78215265920124,33.02909687759357,174.36165838402846,R134a,R134a,389.56,169.85
3.2215679470953855,350,159681.10975403927,262.9462779978013,7.902798407264836,0.1265374552741629,393782.07031670684,373467.9280369221,1.0,1461.5417001215103,10.67450968670863,0.7091092429443779,1.0420736083374988e-05,159664.2682092269,275.1745548967967,275.10095865739015,292.9738602321728,0.0649075022690896,92456.78547799458,258.74429233361235,4.612766298369149,14692.403237610415,1,154.1481844505602,630.0963693604406,147.47806879557285,0.05515348706754728,3.692656324330044,429.7398574983433,116.37688963007157,8.851134216136616e-05,0.023860849153353084,0.010176067584328237,0.0006672519246272566,0.010843319508955495,1.9239461702501166,0.0909093640335243,1.8330368062165923,0.010330956275610302,0.018152731910144933,58.6473457290069,56.50112574790828,46.32413859933813,Underexpanded,,198257.67383463375,257.7181044283634,32.92734204658725,174.3354081608394,R134a,R134a,389.56,169.85
3.2307724269442293,351,159246.2595039031,262.8644928143191,7.8831888800140915,0.1268522187176381,393727.55177995004,373417.39636342373,1.0,1458.1662618948799,10.646438403395903,0.7090124857611765,1.0417391180594958e-05,159229.41782335905,275.1224410549656,275.04884971896297,292.9737590535254,0.06491148795520507,92204.97667135212,258.6952901316085,4.600782679944569,14655.384767016729,1,154.133587108001,628.3802831476428,147.4501387104178,0.0550102024740841,3.692656324330044,429.6991625012948,116.36586910894145,8.829171545615782e-05,0.023798117026571693,0.010148352761435844,0.0006654346441539888,0.010813787405589833,1.9239461702501166,0.0910237287313358,1.8329224415187808,0.010302176807234692,0.018131882635984267,58.74688101727133,56.595951926729704,46.319751850818804,Underexpanded,,197568.97437200247,257.6540722180197,32.82593260331487,174.30916449029954,R134a,R134a,389.56,169.85
3.2399769067930735,352,158812.70178192033,262.78276232694503,7.863630907816635,0.12716771828723247,393673.0874251722,373366.88210867054,1.0,1454.7994300857695,10.6184480448215,0.708924375467671,1.041404851481137e-05,158795.8603120881,275.07019415416823,274.996607806316,292.9736578960962,0.06491545322160554,91953.91652958374,258.64616281539094,4.588836199218763,14618.48013027729,1,154.11895110708937,626.6692991133015,147.42213731314823,0.05486736192513922,3.692656324330044,429.65835973109984,116.35481940200661,8.80726661675463e-05,0.023735572218981024,0.01012072033881637,0.0006636227667247004,0.01078434310554107,1.9239461702501164,0.09113816476803738,1.832808005482079,0.01027348409396068,0.01811106807640794,58.8461452860693,56.69051400404999,46.31535348481023,Underexpanded,,196883.12356750047,257.59005587698607,32.724577754315554,174.2829273975146,R134a,R134a,389.56,169.85
3.2491813866419172,353,158380.4314589714,262.7010862715564,7.844124336728207,0.12748395577027546,393618.6501292443,373316.3851480744,1.0,1451.441580522834,10.590541265930828,0.7088394059498334,1.0410708075221957e-05,158363.590467994,275.0178695469678,274.94428824222075,292.973556761951,0.0649194046772285,91703.60203722883,258.59696243250386,4.576923258617165,14581.67637703267,1,154.10429194501748,624.9633967069424,147.39409426962152,0.05472492240557393,3.692656324330044,429.6174923913885,116.34375220914545,8.785419257135592e-05,0.02367321157779454,0.01009316998457929,0.0006618162705770957,0.010754986255156387,1.9239461702501168,0.09125271123111671,1.832693459019,0.010244877568015297,0.018090288184257515,58.94513934032948,56.78481277317866,46.310948158480976,Underexpanded,,196208.4190953768,257.52619134275983,32.62338580694402,174.25669681593612,R134a,R134a,389.56,169.85
3.2583858664907615,354,157950.35862329372,262.62045950368764,7.824669015395597,0.12780093292539638,393565.0291966412,373265.90542960825,1.0,1448.0868697709682,10.56271665998654,0.7087547124872302,1.0407410550065122e-05,157933.51871067742,274.96619322118954,274.89261690548415,292.9734556526559,0.06492330470073089,91454.56039095229,258.54837162312134,4.565056484951617,14545.018528099401,1,154.0898130354588,623.2661687930892,147.36639866843817,0.05458303489045579,3.692656324330044,429.5771275661221,116.33282110109718,8.763629297243068e-05,0.02361114006675606,0.010065759723550631,0.0006600189604399192,0.01072577868399055,1.9239461702501162,0.09136730037172013,1.832578869878396,0.010216416489822008,0.01806954308707366,59.04386455408943,56.87884957288662,46.306597001082935,Underexpanded,,195532.03807147633,257.46238463041743,32.5237547098008,174.23052846610506,R134a,R134a,389.56,169.85
3.267590346339605,355,157521.8414215439,262.53935362088953,7.805264706203394,0.12811865294014047,393511.0146367945,373215.44071268535,1.0,1444.7504452086744,10.535021060612449,0.7086694850626066,1.0404093429759252e-05,157505.00239804518,274.9141906062243,274.84061931739166,292.97335457197755,0.0649272277992759,91206.41945600658,258.499474006793,4.553236291026438,14508.542328014779,1,154.07524133116172,621.5750792598475,147.33852819462103,0.05444170431556437,3.692656324330044,429.53650404434364,116.3218199360251,8.7418964709478e-05,0.02354930363425241,0.010038448597478149,0.0006582281506516992,0.010696676748129848,1.9239461702501164,0.09148184532674261,1.8324643249233739,0.010188059748905092,0.018048832788368763,59.14232189966719,56.97262536354423,46.302217957295355,Underexpanded,,194856.17743331016,257.3985744183527,32.42380168957558,174.2043837899393,R134a,R134a,389.56,169.85
3.2767948261884494,356,157094.46337313982,262.45802941638414,7.7859112159573405,0.12843711831063334,393456.80746824906,373164.991872327,1.0,1441.3967043896337,10.507430350596023,0.7085990503775038,1.0400989729889276e-05,157077.625240139,274.8620275573183,274.7884613177298,292.9732535186793,0.06493116122488797,90958.93817137157,258.4504255357953,4.5414486708923345,14472.169282690538,1,154.06062328687304,619.8884852675625,147.31057173724426,0.054300763215892084,3.692656324330044,429.49575133426856,116.31078378575934,8.720220561872221e-05,0.023487632905525874,0.010011210074472159,0.0006564421014977275,0.010667652175969886,1.9239461702501162,0.09159649891307355,1.8323496713370426,0.010159779551438897,0.01802815721242367,59.24051208915538,57.06614084969415,46.29782498755592,Underexpanded,,194182.5908804449,257.3347740993947,32.32384890374895,174.17823767255172,R134a,R134a,389.56,169.85
