Wed Nov 27 2019 20:10:14 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.014,39.0
0.11,40.2
0.213,39.7
0.311,39.0
0.412,39.7
0.516,39.0
0.664,39.7
0.711,39.7
0.815,39.4
0.914,37.1
1.013,34.7
1.114,32.8
1.223,32.0
1.315,32.0
1.422,31.9
1.521,32.8
1.622,35.0
1.724,34.5
1.822,34.4
1.935,34.6
2.016,33.8
2.122,33.6
2.233,33.4
2.322,33.8
2.425,34.9
2.521,35.5
2.616,34.1
2.729,34.3
2.83,34.3
2.932,35.5
3.043,36.0
3.134,34.8
3.233,34.0
3.336,34.3
3.436,35.1
3.536,33.6
3.639,35.2
3.736,34.9
3.845,33.7
3.939,33.3
4.035,34.3
4.139,33.9
4.24,34.0
4.341,33.9
4.443,34.6
4.544,35.1
4.647,34.9
4.768,34.7
4.845,34.6
4.947,35.2
5.046,34.1
5.159,35.1
5.246,36.0
5.347,34.2
5.463,34.8
5.55,35.0
5.65,34.5
5.746,34.7
5.849,35.4
5.951,35.8
6.052,35.1
6.15,34.0
6.25,34.7
6.354,34.5
6.45,33.0
6.553,33.3
6.655,34.4
6.761,34.7
6.855,34.2
6.957,33.1
7.057,34.5
7.158,34.0
7.256,34.5
7.359,34.5
7.46,33.6
7.555,34.6
7.664,34.3
7.758,34.0
7.862,33.6
7.963,33.4
8.06,33.8
8.162,34.8
8.261,34.2
8.361,34.8
8.47,35.7
8.566,34.7
