Mon Dec 23 2019 18:16:23 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.518,0.0
0.526,0.0
0.531,0.5
0.539,0.5
0.547,0.0
0.559,1.0
0.565,0.0
0.578,0.0
0.795,0.0
0.797,0.0
0.801,0.0
0.947,0.5
1.057,0.0
1.198,0.5
1.199,0.5
1.34,-0.5
1.363,0.0
1.859,0.0
1.863,0.0
1.867,0.5
1.87,0.5
1.931,0.0
1.944,-0.5
2.117,0.0
2.135,0.0
2.309,0.0
2.337,0.0
2.512,0.5
2.53,0.0
2.696,0.0
2.726,0.0
2.894,0.0
2.934,0.5
3.093,0.0
3.115,0.5
3.286,0.5
3.312,0.0
3.482,0.0
3.509,0.0
3.699,0.0
3.711,0.0
3.875,0.0
3.905,0.5
4.075,0.5
4.097,-0.5
4.266,0.0
4.306,-0.5
4.46,0.0
4.493,0.0
4.681,0.0
4.693,0.0
4.853,0.5
4.877,0.0
5.063,0.0
5.08,0.0
5.247,-0.5
5.269,0.0
5.439,0.0
5.464,0.5
5.638,0.0
5.66,0.0
5.837,0.0
5.867,0.0
6.026,0.0
6.051,0.0
6.223,0.0
6.247,0.0
6.421,0.5
6.448,0.0
6.615,0.0
6.644,0.0
6.811,0.0
6.837,0.5
