Wed Dec 04 2019 14:39:17 GMT-0800 (Pacific Standard Time),
Time (s),Weight (?)
0.024,0
0.118,0
0.208,0
0.301,0
0.397,0
0.496,0
0.632,0
0.674,0.2
0.769,3.8
0.861,8.2
0.954,8.7
1.049,8.7
1.14,8.8
1.233,8.8
1.329,8.8
1.422,8.8
1.515,8.8
1.615,8.9
1.703,8.9
1.795,8.8
1.89,8.9
1.982,8.9
2.075,8.9
2.168,8.9
2.262,8.9
2.356,9
2.448,9
2.54,9
2.633,9
2.743,9
2.82,9.1
2.915,9.1
3.008,9.1
3.106,9.1
3.193,9.1
3.286,9.1
3.38,9.1
3.476,9.2
3.57,9.2
3.659,9.2
3.755,9.2
3.853,9.2
3.942,9.2
4.034,9.2
4.127,9.2
4.221,9.2
4.313,9.2
4.407,9.2
4.5,9.2
4.595,9.3
4.715,9.3
4.775,9.3
4.873,9.3
4.967,9.3
5.061,9.3
5.153,9.3
5.246,9.3
5.339,9.3
5.432,9.3
5.526,9.3
5.617,9.3
5.712,9.3
5.806,9.3
5.899,9.3
5.994,9.3
6.087,9.3
6.18,9.3
6.273,9.3
6.364,9.3
6.459,9.3
6.553,9.3
6.646,9.3
6.74,9.3
6.83,9.3
6.923,9.3
7.019,9.3
7.114,9.3
7.205,9.3
7.307,9.4
7.392,9.3
7.486,9.3
7.581,9.4
7.671,9.4
7.776,9.4
7.86,9.3
7.949,9.4
8.056,9.4
8.146,9.4
8.236,9.4
8.323,9.4
8.417,9.3
8.509,9.3
8.605,9.3
8.697,9.2
8.79,5.7
8.89,0.9
8.977,0.2
9.069,0.2
9.171,0.2
9.257,0.2
9.35,0.2
9.444,0.2
9.535,0.2
9.632,0.1
9.721,0.1
9.817,0.2
9.913,0.1
10.003,0.1
10.095,0.1
10.192,0.1
10.291,0.1
10.373,0.1
10.47,0.1
10.562,0.1
10.651,0.1
10.752,0.1
10.852,0.1
10.942,0.1
11.03,0.1
11.125,0.1
11.216,0.1
11.309,0.1
11.404,0.1
11.497,0.1
11.587,0.1
11.681,0.1
11.774,0
11.869,0
11.96,0
12.054,0
12.149,0
12.246,0
12.334,0
12.452,0
12.525,0
12.615,0
12.711,0
12.8,0
12.895,0
12.994,0
13.091,0
13.177,0
13.268,0
13.364,0
13.452,0
13.552,0
