Fri Nov 29 2019 14:41:36 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.066,19.0
0.163,18.3
0.261,19.0
0.348,18.8
0.44,18.8
0.533,19.0
0.631,19.0
0.725,18.5
0.808,14.3
0.908,13.0
0.997,11.8
1.099,11.3
1.195,9.8
1.286,9.0
1.37,9.0
1.463,9.3
1.558,10.0
1.651,10.5
1.744,11.0
1.834,11.3
1.933,12.5
2.02,13.0
2.117,13.0
2.213,13.8
2.306,14.3
2.403,14.8
2.491,15.0
2.588,15.3
2.679,15.5
2.769,15.8
2.858,15.8
2.953,15.8
3.049,16.0
3.14,16.0
3.237,16.0
3.332,16.3
3.424,16.3
3.512,16.5
3.604,16.5
3.698,16.5
3.792,16.8
3.88,16.5
3.977,16.3
4.079,16.8
4.166,17.0
4.26,16.8
4.355,17.0
4.444,17.0
4.539,17.0
4.63,17.3
4.727,17.3
4.816,17.0
4.913,17.3
5.004,17.3
5.098,16.8
5.189,17.3
5.286,17.5
5.382,17.3
5.47,17.5
5.562,17.3
5.655,17.5
5.751,17.5
5.844,17.8
5.931,17.8
6.028,17.8
6.122,17.8
6.213,17.5
6.308,17.8
6.404,17.3
6.494,17.5
6.585,17.8
6.68,17.5
6.771,18.0
6.866,18.0
6.958,18.0
7.051,18.0
7.144,18.0
7.234,17.8
7.335,17.8
7.429,18.0
7.535,17.8
7.669,18.0
7.705,18.0
7.806,17.8
7.943,15.5
8.089,17.3
8.093,18.0
8.169,18.3
8.263,18.3
8.359,17.8
8.452,18.3
8.54,18.3
8.635,18.0
8.73,18.3
8.821,18.3
8.914,18.3
9.014,18.3
9.102,18.3
9.19,17.8
9.282,18.3
9.379,18.3
9.477,18.3
