Wed Dec 04 2019 14:41:30 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.002,59.7
0.088,59.7
0.185,60.2
0.278,60.2
0.372,59.7
0.466,60.2
0.559,59.7
0.653,59.7
0.745,52.6
0.839,52.6
0.931,52.6
1.026,52.1
1.117,52.1
1.211,52.1
1.304,51.6
1.398,52.6
1.491,52.6
1.584,52.6
1.678,52.6
1.773,52.6
1.863,53.1
1.956,52.6
2.052,53.6
2.146,53.1
2.237,53.1
2.331,53.6
2.427,53.1
2.515,54.1
2.607,54.1
2.704,54.1
2.797,54.1
2.891,54.1
2.985,54.1
3.078,54.1
3.172,54.6
3.27,54.6
3.358,54.6
3.45,54.6
3.54,54.6
3.636,54.6
3.731,54.6
3.824,54.6
3.921,54.6
4.009,54.6
4.102,54.6
4.197,54.6
4.292,54.6
4.382,55.1
4.475,54.6
4.568,55.1
4.672,55.1
4.755,55.1
4.848,55.1
4.944,55.1
5.035,55.1
5.128,55.1
5.222,55.1
5.315,55.6
5.413,55.1
5.501,55.6
5.595,55.6
5.689,55.6
5.781,55.6
5.874,55.1
5.969,55.6
6.061,55.6
6.154,55.6
6.25,55.6
6.341,55.6
6.434,56.1
6.531,55.6
6.621,56.1
6.723,56.1
6.815,63.8
6.901,64.8
6.997,63.8
7.087,64.3
7.191,64.8
7.275,63.8
7.368,63.8
7.46,63.8
7.564,63.8
7.644,63.3
7.74,63.8
7.83,63.3
7.926,63.3
8.02,63.3
8.121,63.3
8.234,63.3
8.304,63.3
8.39,62.8
8.489,63.3
8.587,62.8
8.67,62.8
8.766,62.8
8.859,62.8
8.965,62.8
9.05,62.8
9.142,62.8
9.234,62.8
9.335,62.2
9.418,62.8
9.513,62.2
9.607,62.2
9.709,62.2
9.796,62.2
9.886,62.2
9.984,62.2
10.071,62.2
10.166,62.2
10.259,61.7
10.353,62.2
10.445,61.7
10.538,62.2
10.633,62.2
10.722,61.7
10.817,62.2
10.911,61.7
11.002,61.7
11.111,61.7
11.194,61.7
11.284,61.7
11.379,62.2
11.471,61.7
11.566,61.7
