Wed Dec 04 2019 14:47:05 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.03,79.2
0.133,79.7
0.213,79.7
0.309,80.2
0.4,79.2
0.492,79.7
0.637,79.7
0.679,79.7
0.772,71.1
0.867,71.1
0.959,70.6
1.056,70.6
1.149,70.1
1.238,70.6
1.332,70.6
1.495,70.6
1.519,71.1
1.636,70.6
1.778,71.1
1.801,71.1
1.91,71.6
2.048,71.6
2.076,71.6
2.174,72.1
2.265,71.6
2.358,72.1
2.452,72.1
2.548,72.1
2.641,72.1
2.729,72.1
2.825,72.6
2.917,72.6
3.011,72.6
3.103,73.1
3.197,72.6
3.287,73.1
3.383,73.1
3.476,73.1
3.571,73.6
3.666,73.1
3.756,73.6
3.851,73.6
3.951,73.6
4.04,73.6
4.128,73.1
4.228,73.6
4.319,73.6
4.411,73.6
4.503,73.6
4.6,73.6
4.686,74.1
4.782,82.8
4.876,83.8
4.969,84.3
5.062,84.8
5.157,85.3
5.248,85.3
5.34,85.3
5.451,85.3
5.536,85.3
5.622,85.8
5.716,85.3
5.808,85.8
5.902,85.3
5.995,85.3
6.102,85.3
6.18,84.8
6.282,85.3
6.375,84.8
6.461,84.8
6.554,84.8
6.649,84.8
6.738,84.8
6.833,84.3
6.928,84.3
7.02,84.3
7.115,83.8
7.209,83.8
7.301,83.8
7.42,83.8
7.487,83.8
7.58,83.8
7.676,83.8
7.769,83.8
7.86,83.8
7.956,83.8
8.047,83.3
8.137,83.3
8.234,82.8
8.339,83.3
8.424,82.8
8.517,82.8
8.608,82.8
8.701,82.8
8.792,82.8
8.886,82.8
8.979,82.2
9.073,82.8
9.169,82.2
9.259,82.2
9.349,82.2
9.452,81.7
9.545,82.2
