Wed Nov 27 2019 19:47:06 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.082,-144.5
0.181,-144.7
0.286,-143.9
0.378,-144.0
0.479,-145.7
0.574,-145.7
0.679,-145.2
0.783,-145.4
0.884,-145.5
0.991,-144.9
1.09,-145.8
1.192,-145.9
1.292,-145.0
1.402,-143.9
1.495,-144.7
1.595,-144.3
1.694,-144.2
1.792,-143.8
1.888,-144.3
1.992,-145.1
2.093,-144.6
2.194,-144.8
2.295,-145.2
2.395,-144.4
2.498,-143.5
2.599,-144.0
2.698,-144.3
2.798,-144.2
2.907,-144.6
2.999,-144.8
3.1,-144.7
3.2,-144.5
3.303,-145.1
3.402,-145.2
3.507,-145.7
3.616,-144.4
3.715,-144.6
3.804,-145.4
3.904,-144.8
4.006,-145.9
4.107,-145.3
4.207,-145.3
4.307,-145.0
4.409,-145.0
4.51,-144.8
4.61,-144.2
4.721,-143.7
4.813,-144.5
4.914,-144.6
5.016,-145.3
5.121,-145.4
5.217,-144.8
5.317,-145.5
5.417,-144.8
5.515,-143.8
5.62,-145.0
5.718,-146.2
5.824,-145.0
5.934,-146.1
6.035,-146.2
6.132,-144.8
6.232,-145.2
6.332,-144.8
6.433,-144.2
6.544,-144.7
6.64,-144.5
6.748,-144.8
6.845,-143.6
6.942,-143.9
7.041,-144.9
7.137,-144.9
7.239,-144.8
7.339,-146.1
7.44,-146.4
7.539,-147.3
7.645,-146.7
7.743,-144.2
7.846,-144.5
7.943,-144.4
8.045,-144.8
8.148,-146.1
8.241,-146.6
8.347,-145.3
8.454,-145.2
8.548,-145.8
8.647,-145.2
8.748,-145.6
8.849,-145.7
8.95,-146.5
9.051,-145.7
9.152,-145.9
9.253,-145.9
9.35,-146.2
9.454,-145.8
9.556,-144.8
