Fri Nov 29 2019 14:38:23 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.053,96.3
0.147,95.7
0.237,97.3
0.332,95.7
0.424,95.7
0.52,95.7
0.61,95.2
0.71,79.0
0.796,64.8
0.89,53.1
0.983,43.5
1.072,35.3
1.17,29.3
1.295,23.2
1.359,19.1
1.454,14.5
1.546,11.5
1.635,8.4
1.728,5.9
1.821,4.4
1.914,2.9
2.014,1.3
2.101,0.8
2.19,0.3
2.289,-0.2
2.377,-0.2
2.475,-0.2
2.579,-0.2
2.683,-0.7
2.754,-0.2
2.846,-0.7
2.939,-0.2
3.034,-0.7
3.126,-0.2
3.219,-0.2
3.309,-0.2
3.406,-0.2
3.495,-0.7
3.594,-0.2
3.684,-0.7
3.777,-0.2
3.871,-0.2
3.972,-0.7
4.061,-0.2
4.154,-0.2
4.242,-0.2
4.336,-0.2
4.426,-0.2
4.523,-0.2
4.619,-0.7
4.705,-0.2
4.808,-0.2
4.896,-0.7
4.988,-0.2
5.082,-0.2
5.174,-0.2
5.271,-0.2
5.36,-0.7
5.45,-0.2
5.547,-0.2
5.642,-0.2
5.732,-0.2
5.826,-0.2
5.926,-0.2
6.012,-0.2
6.106,-0.2
6.198,-0.2
6.288,-0.2
6.382,-0.2
6.475,-0.2
6.577,-0.2
6.669,-0.2
6.758,-0.2
6.848,-0.2
6.942,-0.2
7.036,-0.2
7.128,-0.2
7.228,-0.2
7.315,-0.2
7.405,-0.2
7.502,-0.2
7.594,-0.2
7.691,-0.2
7.782,-0.2
7.882,-0.2
7.968,-0.2
8.063,-0.2
8.154,-0.2
8.248,-0.2
8.337,-0.2
8.436,-0.2
8.531,-0.2
8.62,-0.2
8.715,-0.2
8.807,-0.2
8.9,-0.2
8.992,-0.2
9.086,-0.2
9.181,-0.2
9.272,-0.2
9.361,-0.2
9.458,-0.2
