Wed Nov 27 2019 19:57:30 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.004,-0.9
0.099,-0.7
0.201,-1.2
0.3,-1.2
0.403,-1.1
0.517,0.1
0.649,-0.4
0.707,-0.3
0.808,-0.8
0.907,-0.8
1.007,-1.4
1.117,-1.7
1.204,-0.6
1.309,-0.3
1.415,-0.6
1.51,-1.4
1.607,-1.7
1.711,-1.2
1.817,-1.1
1.926,-1.4
2.019,-1.5
2.109,-0.9
2.209,0.3
2.309,-0.4
2.427,-0.8
2.508,-1.7
2.611,-0.2
2.712,0.8
2.812,0.9
2.914,0.6
3.016,0.0
3.118,-0.1
3.224,-1.0
3.32,-1.1
3.417,-0.4
3.517,0.0
3.617,-0.6
3.722,0.1
3.843,0.3
3.923,-0.9
4.021,-0.7
4.123,-0.2
4.233,-1.5
4.347,-0.4
4.447,-0.6
4.546,-1.1
4.648,-1.1
4.746,-0.1
4.845,-0.6
4.945,-0.8
5.046,0.3
5.149,-0.1
5.29,-0.3
5.348,0.0
5.45,-1.4
5.548,-1.3
5.66,-0.8
5.748,-0.8
5.851,-1.2
5.951,-0.2
6.052,-0.1
6.153,-0.7
6.251,-1.4
6.352,-0.6
6.458,-1.5
6.555,-0.6
6.653,-0.4
6.755,-0.7
6.856,-1.4
6.956,-0.2
7.067,-0.6
7.166,-0.3
7.269,-1.0
7.369,-1.5
7.478,-1.7
7.568,-2.2
7.668,-0.8
7.773,0.1
7.874,-0.6
7.989,-0.6
8.076,-0.7
8.216,-1.1
8.287,-0.9
8.376,-2.1
8.479,-2.7
8.582,-1.1
8.686,-0.7
8.78,-0.5
8.882,-1.7
8.982,-1.7
9.082,-1.9
9.182,-1.0
9.282,-1.1
9.384,-1.8
9.495,-2.2
9.585,-0.4
