Sat Nov 30 2019 13:14:10 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.049,-0.3
0.135,-0.3
0.228,-0.3
0.322,-0.3
0.415,-0.3
0.514,-0.3
0.601,-0.3
0.695,0.3
0.792,8.9
0.886,18.1
1.037,16.1
1.079,13.2
1.176,10.8
1.253,8.8
1.348,7.3
1.442,5.9
1.534,4.7
1.631,3.7
1.72,2.9
1.82,2.1
1.911,1.6
2.006,1.1
2.098,0.7
2.192,0.4
2.288,0.2
2.381,0.1
2.473,0.0
2.574,0.0
2.66,0.0
2.754,0.0
2.85,0.0
2.938,-0.0
3.028,-0.0
3.122,-0.0
3.222,-0.0
3.314,-0.0
3.405,-0.0
3.511,-0.0
3.59,-0.0
3.69,-0.0
3.773,-0.0
3.866,-0.0
3.96,0.0
4.053,0.0
4.144,0.0
4.239,0.0
4.337,0.0
4.43,0.0
4.53,0.0
4.617,0.0
4.716,0.0
4.801,0.0
4.896,0.0
4.989,0.0
5.084,0.0
5.187,0.0
5.267,0.0
5.364,0.0
5.456,0.0
5.548,-0.0
5.643,-0.0
5.737,-0.0
5.832,0.0
5.921,-0.0
6.021,-0.0
6.107,-0.0
6.203,0.0
6.293,-0.0
6.387,-0.0
6.482,-0.0
6.576,-0.0
6.671,0.0
6.767,-0.0
6.857,-0.0
6.945,-0.0
7.04,-0.0
7.133,-0.0
7.23,-0.0
7.318,-0.0
7.411,-0.0
7.505,-0.0
7.6,-0.0
7.694,-0.0
7.786,-0.0
7.89,-0.0
7.975,-0.0
8.097,-0.0
8.165,-0.0
8.255,-0.0
8.348,-0.0
8.442,-0.0
8.535,-0.0
8.629,-0.0
