Wed Dec 04 2019 14:48:31 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.01,79.7
0.111,80.2
0.191,80.2
0.297,79.7
0.378,79.7
0.51,79.7
0.578,80.2
0.666,79.2
0.747,70.6
0.872,70.6
0.934,70.1
1.032,70.1
1.148,70.1
1.214,70.6
1.31,70.6
1.403,70.6
1.5,71.1
1.59,70.6
1.683,71.1
1.777,71.1
1.87,71.1
1.962,71.6
2.058,71.1
2.166,71.1
2.246,71.6
2.336,71.6
2.431,71.6
2.523,71.6
2.618,71.6
2.712,72.1
2.803,71.6
2.902,72.1
2.997,71.6
3.087,72.1
3.177,72.1
3.269,72.1
3.362,72.1
3.462,72.1
3.551,72.1
3.646,72.1
3.736,72.1
3.836,72.6
3.922,72.1
4.015,72.6
4.142,72.1
4.204,72.6
4.292,73.6
4.391,72.6
4.484,72.6
4.576,72.6
4.668,72.6
4.762,82.8
4.866,83.8
4.953,84.3
5.05,84.8
5.138,84.8
5.231,85.3
5.354,84.8
5.419,85.3
5.513,85.3
5.603,85.3
5.694,85.3
5.787,84.8
5.885,85.3
5.974,84.8
6.07,84.8
6.164,84.8
6.254,84.8
6.351,84.8
6.453,84.8
6.537,84.3
6.628,84.3
6.722,84.3
6.816,84.3
6.917,83.8
7.001,83.8
7.102,83.8
7.228,83.8
7.285,83.8
7.374,83.3
7.466,83.3
7.56,83.3
7.653,83.3
7.746,83.3
7.839,82.8
7.933,82.8
8.028,82.8
8.123,82.8
8.214,82.8
8.308,82.8
8.406,82.8
8.494,82.2
8.587,82.2
8.686,82.2
8.776,81.7
8.872,82.2
8.963,81.7
9.054,81.7
9.148,81.7
9.24,81.7
9.338,81.7
9.427,81.7
9.519,82.2
