Fri Nov 29 2019 14:41:36 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.058,96.8
0.154,96.8
0.246,96.8
0.339,96.3
0.433,96.3
0.524,96.3
0.619,96.3
0.71,79.5
0.8,64.8
0.899,53.1
0.987,43.5
1.083,35.3
1.179,28.7
1.271,23.2
1.363,18.6
1.454,14.5
1.548,11.0
1.641,8.4
1.736,5.9
1.824,3.9
1.921,2.3
2.012,1.3
2.109,0.8
2.205,-0.2
2.293,-0.2
2.387,-0.2
2.482,-0.2
2.575,-0.2
2.67,-0.7
2.76,-0.2
2.849,-0.7
2.942,-0.2
3.038,-0.2
3.131,-0.2
3.226,-0.2
3.319,-0.7
3.415,-0.2
3.504,-0.7
3.597,-0.2
3.691,-0.2
3.783,-0.2
3.873,-0.2
3.971,-0.7
4.06,-0.2
4.158,-0.2
4.251,-0.7
4.342,-0.2
4.438,-0.7
4.529,-0.2
4.621,-0.2
4.718,-0.7
4.807,-0.2
4.898,-0.2
4.992,-0.2
5.088,-0.2
5.179,-0.7
5.274,-0.2
5.367,-0.7
5.461,-0.2
5.554,-0.2
5.647,-0.2
5.738,-0.2
5.834,-0.2
5.923,-0.2
6.016,-0.2
6.112,-0.2
6.202,-0.2
6.298,-0.2
6.394,-0.2
6.491,-0.2
6.579,-0.2
6.672,-0.2
6.763,-0.2
6.858,-0.2
6.946,-0.2
7.039,-0.2
7.136,-0.2
7.226,-0.2
7.323,-0.2
7.415,-0.2
7.527,-0.2
7.659,-0.2
7.694,-0.2
7.797,-0.2
7.934,-0.2
8.074,-0.2
8.091,-0.2
8.162,-0.2
8.254,0.3
8.351,-0.2
8.44,-0.2
8.533,-0.2
8.627,-0.2
8.719,-0.2
8.813,-0.2
8.905,-0.2
8.999,-0.2
9.093,-0.2
9.182,-0.2
9.276,-0.2
9.37,-0.2
9.464,-0.2
