Wed Nov 27 2019 19:47:06 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.079,21.3
0.18,21.0
0.284,21.3
0.377,21.3
0.477,21.0
0.576,21.3
0.678,21.3
0.781,21.3
0.882,21.3
0.988,21.3
1.087,21.3
1.196,21.3
1.291,21.0
1.4,21.3
1.493,21.3
1.593,21.3
1.691,21.3
1.79,21.3
1.887,21.3
1.991,21.3
2.092,21.3
2.191,21.3
2.293,21.3
2.395,21.3
2.497,21.3
2.597,21.3
2.696,21.3
2.797,21.3
2.905,21.3
2.998,21.3
3.098,21.3
3.197,21.0
3.301,21.3
3.4,21.3
3.506,21.3
3.613,21.3
3.713,21.0
3.801,21.3
3.903,21.3
4.004,21.0
4.105,21.3
4.204,21.3
4.305,21.3
4.407,21.3
4.508,21.3
4.608,21.3
4.719,21.5
4.81,21.3
4.912,21.3
5.015,21.3
5.118,21.3
5.215,21.3
5.315,21.3
5.415,21.3
5.513,21.3
5.618,21.3
5.718,21.5
5.822,21.5
5.93,21.0
6.033,21.3
6.131,21.3
6.23,21.3
6.331,21.3
6.432,20.8
6.535,21.5
6.638,21.3
6.746,21.3
6.843,21.3
6.939,21.3
7.039,21.3
7.137,21.5
7.236,21.5
7.337,21.3
7.438,21.3
7.538,21.5
7.643,21.3
7.74,21.5
7.844,21.3
7.941,21.3
8.043,21.3
8.147,21.3
8.24,21.5
8.342,21.5
8.453,21.3
8.545,21.5
8.646,21.0
8.746,21.3
8.847,21.5
8.949,21.0
9.05,21.3
9.15,21.3
9.251,21.3
9.349,21.3
9.452,21.0
9.554,21.3
