Wed Dec 04 2019 14:54:12 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.083,99.8
0.176,99.8
0.268,99.8
0.36,100.3
0.46,99.8
0.544,99.8
0.641,99.3
0.735,93.2
0.827,92.7
0.92,92.2
1.016,92.7
1.108,92.7
1.2,92.7
1.291,93.7
1.387,93.7
1.48,94.2
1.573,94.2
1.667,94.2
1.762,94.7
1.853,94.7
1.948,95.2
2.039,95.2
2.132,95.2
2.223,95.7
2.319,95.2
2.411,95.7
2.508,95.7
2.598,95.7
2.694,95.7
2.785,105.4
2.878,105.9
2.972,105.9
3.065,105.9
3.158,105.9
3.251,104.9
3.346,105.4
3.439,104.4
3.556,104.4
3.627,103.9
3.718,103.4
3.811,103.9
3.905,103.4
3.999,102.8
4.092,102.8
4.185,102.3
4.277,102.3
4.368,101.8
4.464,101.8
4.559,101.8
4.65,101.8
4.744,101.8
4.842,101.8
4.932,101.8
5.024,101.8
5.117,101.8
5.209,101.8
5.304,101.8
5.396,101.8
5.491,101.8
5.584,101.8
5.677,101.8
5.769,101.8
5.864,101.8
5.957,101.8
6.049,101.8
6.143,101.8
6.236,101.3
6.329,101.8
6.42,101.8
6.516,101.8
6.612,101.3
6.703,101.3
6.796,101.8
6.889,101.3
6.982,101.8
7.078,101.3
7.169,101.8
7.262,101.8
7.356,101.8
7.45,101.3
7.543,101.3
