Fri Nov 29 2019 14:40:10 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.025,18.3
0.118,18.8
0.212,18.8
0.306,18.8
0.399,18.8
0.497,18.8
0.639,18.8
0.677,18.0
0.772,16.5
0.864,14.3
0.96,13.0
1.049,12.3
1.143,10.3
1.24,9.8
1.331,9.3
1.429,9.0
1.515,9.8
1.613,10.0
1.699,10.3
1.795,10.8
1.887,12.0
1.985,12.3
2.076,13.0
2.167,13.3
2.261,14.0
2.354,14.5
2.447,14.8
2.54,14.5
2.637,15.5
2.73,15.5
2.818,15.5
2.913,15.8
3.009,16.0
3.101,16.0
3.193,16.3
3.286,16.3
3.38,16.3
3.473,16.5
3.563,16.5
3.663,16.5
3.753,16.8
3.844,16.8
3.94,16.5
4.032,16.8
4.123,16.5
4.217,17.0
4.309,17.0
4.403,17.0
4.495,17.0
4.592,17.3
4.686,17.3
4.775,17.0
4.871,17.3
4.967,17.0
5.056,17.0
5.16,17.3
5.243,17.3
5.338,17.5
5.429,17.5
5.52,17.5
5.611,17.5
5.708,17.8
5.798,17.0
5.892,17.5
5.99,17.8
6.087,17.3
6.174,17.8
6.268,17.5
6.361,17.5
6.454,17.8
6.547,17.8
6.637,17.3
6.733,18.0
6.827,17.8
6.916,17.5
7.02,18.0
7.111,18.0
7.198,17.8
7.291,18.0
7.383,18.0
7.479,17.8
7.569,18.0
7.662,18.0
7.757,17.8
7.855,18.0
7.94,18.0
8.035,18.0
8.135,18.0
8.221,17.8
8.315,17.8
8.411,18.3
8.503,18.3
8.593,18.3
8.692,18.3
8.781,18.3
8.87,18.0
8.966,18.3
9.061,18.0
9.158,18.3
9.245,18.3
9.34,18.0
9.431,18.3
9.527,18.3
