Sat Nov 30 2019 12:02:39 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.037,93.4
0.124,92.4
0.217,92.9
0.308,92.4
0.406,92.4
0.499,92.9
0.633,91.8
1.615,91.8
1.71,74.6
1.801,61.4
1.893,50.7
1.991,41.1
2.086,34.5
2.179,27.4
2.283,21.8
2.361,17.7
2.585,13.7
2.593,11.1
2.701,7.6
2.765,6.1
2.847,4.0
2.921,2.5
3.014,1.5
3.108,-0.0
3.206,0.5
3.292,-0.0
3.394,-0.0
3.481,-0.5
3.574,-1.0
3.674,-0.0
3.762,-0.5
3.854,-0.5
3.946,-0.5
4.037,-1.0
4.137,-0.0
4.229,-0.5
4.322,-0.5
4.41,-0.5
4.506,-0.5
4.601,-0.0
4.694,-0.5
4.786,-0.0
4.881,-0.5
4.972,-0.5
5.076,0.5
5.166,-0.5
5.25,-0.0
5.345,-0.0
5.438,-0.0
5.53,-0.0
5.624,-0.5
5.718,-0.0
5.811,-0.0
5.914,-0.0
5.997,-0.0
6.088,-0.5
6.182,0.5
6.28,-0.0
6.371,0.5
6.463,-0.0
6.559,-0.0
6.648,0.5
6.743,-0.0
6.838,-0.0
6.93,-0.0
7.03,-0.0
7.118,0.5
7.212,-0.0
7.318,0.5
7.398,-0.0
7.49,-0.0
7.581,-0.0
7.682,-0.0
7.769,0.5
7.863,0.5
7.955,-0.0
8.047,-0.0
8.15,-0.5
8.239,0.5
8.347,-0.0
8.417,-0.0
8.547,-0.0
8.621,-0.0
8.701,0.5
8.792,-0.0
8.904,-0.0
8.981,-0.0
9.074,-0.0
9.165,0.5
9.256,-0.0
9.354,0.5
9.448,-0.5
9.551,0.5
