Wed Dec 04 2019 14:34:34 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.016,19.8
0.083,20.3
0.176,19.8
0.268,20.3
0.363,19.8
0.456,19.8
0.556,20.3
0.64,18.8
0.732,14.2
0.825,14.2
0.916,14.2
1.01,14.7
1.104,14.7
1.2,14.7
1.298,14.7
1.395,14.7
1.491,14.7
1.58,14.7
1.671,15.2
1.762,14.7
1.868,15.2
1.948,15.2
2.04,14.7
2.135,15.2
2.227,15.2
2.321,15.2
2.411,15.2
2.508,15.2
2.6,15.2
2.693,15.2
2.788,15.7
2.88,15.2
2.975,15.2
3.066,15.7
3.161,15.7
3.258,15.7
3.352,15.7
3.445,15.2
3.529,15.7
3.626,15.2
3.719,15.7
3.812,15.7
3.912,15.2
4.01,16.3
4.097,15.7
4.186,15.7
4.281,15.7
4.374,15.7
4.47,16.3
4.56,15.7
4.657,16.3
4.753,15.7
4.856,15.7
4.933,15.7
5.028,16.8
5.121,16.3
5.212,16.3
5.305,15.7
5.4,16.3
5.492,15.7
5.587,16.3
5.678,16.3
5.77,16.3
5.9,16.3
5.958,15.7
6.051,17.3
6.152,16.3
6.24,16.3
6.332,16.3
6.427,16.3
6.515,16.3
6.612,16.3
6.705,16.3
6.798,16.3
6.892,16.3
6.987,16.8
7.077,16.3
7.174,16.3
7.271,16.3
7.357,16.3
7.455,16.8
7.556,16.3
7.641,16.8
7.73,16.3
7.82,16.8
7.923,16.8
8.008,16.3
8.121,16.8
8.198,16.8
8.289,16.8
8.386,16.8
8.488,16.3
8.573,16.8
8.663,16.8
8.774,16.8
8.849,16.8
8.943,16.8
9.047,16.8
9.131,16.3
9.221,16.8
9.32,16.8
9.408,16.3
9.503,16.8
9.596,16.8
9.689,16.8
9.785,16.8
9.877,16.8
9.967,16.8
10.059,16.8
10.164,16.8
10.249,17.8
10.341,16.8
10.434,16.8
10.527,16.8
10.622,16.8
10.716,16.8
10.807,24.9
10.9,26.4
10.997,26.9
11.088,27.9
11.181,28.4
11.274,28.4
11.394,28.4
11.464,28.4
11.553,28.9
11.644,28.4
11.749,28.4
11.832,28.9
11.927,28.4
12.017,28.4
12.11,28.4
12.219,28.4
12.3,28.4
12.413,27.9
12.489,28.4
12.58,27.9
12.674,27.9
12.766,27.9
12.86,27.4
12.962,27.9
13.049,27.4
13.158,27.4
13.234,27.4
13.326,26.9
13.438,27.4
13.537,26.9
13.633,26.9
13.696,27.4
13.796,26.9
13.889,26.9
13.977,26.9
14.082,26.9
14.166,26.4
14.259,26.4
14.355,26.4
14.447,26.4
14.539,26.4
14.634,26.4
14.728,26.4
14.819,26.4
14.914,26.4
15.005,26.4
15.098,25.9
15.194,25.9
15.288,25.9
15.378,25.9
15.479,26.4
15.567,25.9
