Sat Nov 30 2019 12:20:52 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.003,91.3
0.091,90.8
0.189,90.3
0.277,90.8
0.37,90.3
0.46,89.8
0.56,89.8
1.578,88.8
1.674,72.6
1.77,59.4
1.856,49.2
1.95,40.1
2.046,32.5
2.139,26.4
2.233,20.8
2.322,16.7
2.44,12.7
2.508,10.1
2.6,7.1
2.694,5.0
2.791,3.5
2.889,2.0
2.978,1.0
3.072,-0.0
3.171,-0.0
3.254,-0.0
3.348,-0.5
3.441,-0.0
3.534,-0.0
3.626,-0.5
3.719,-0.0
3.815,-0.5
3.907,-0.5
3.999,-0.5
4.092,-0.5
4.186,-0.5
4.28,-0.5
4.373,-0.5
4.477,-0.5
4.561,-0.5
4.658,-0.5
4.752,-0.5
4.846,-0.0
4.936,-0.5
5.029,-0.0
5.119,-0.0
5.213,-0.0
5.307,0.5
5.398,-0.0
5.491,-0.0
5.584,-0.0
5.678,-0.0
5.773,0.5
5.872,-0.5
5.961,-0.0
6.051,-0.0
6.146,-0.0
6.239,-0.0
6.331,-0.0
6.424,-0.0
6.518,-0.0
6.612,-0.0
6.704,-0.0
6.82,-0.5
6.895,0.5
6.985,-0.0
7.078,-0.0
7.17,-0.0
7.263,-0.0
7.357,0.5
7.448,-0.0
7.542,-0.0
7.643,-0.0
7.776,-0.5
7.836,0.5
7.925,-0.0
8.03,-0.0
8.102,-0.0
8.196,-0.0
8.288,0.5
8.381,-0.5
8.479,-0.0
8.568,-0.0
8.663,-0.0
8.755,0.5
8.851,-0.0
8.95,-0.0
9.043,-0.0
9.133,-0.0
9.223,0.5
9.318,-0.5
9.41,0.5
9.503,-0.0
