Wed Nov 27 2019 20:08:49 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.093,40.2
0.194,40.9
0.294,40.5
0.396,40.3
0.497,40.2
0.638,39.8
0.793,39.5
0.797,38.7
0.903,36.2
1.003,34.0
1.123,34.6
1.199,34.9
1.307,34.8
1.419,34.8
1.508,34.5
1.617,35.7
1.704,35.2
1.804,35.6
1.909,35.7
2.01,35.0
2.176,35.3
2.205,35.2
2.316,35.1
2.447,33.7
2.581,33.5
2.615,33.0
2.724,34.2
2.846,34.2
2.921,34.6
3.026,35.5
3.117,34.5
3.209,34.8
3.313,35.7
3.417,34.1
3.517,33.1
3.618,34.5
3.718,35.5
3.822,35.1
3.923,35.2
4.017,36.8
4.12,36.6
4.22,35.9
4.321,35.3
4.424,35.2
4.523,34.6
4.626,33.8
4.723,34.8
4.827,35.4
4.925,35.3
5.025,34.6
5.126,33.7
5.229,34.2
5.326,33.9
5.441,34.3
5.524,35.7
5.632,34.8
5.731,34.1
5.83,33.7
5.929,34.3
6.033,36.1
6.16,35.4
6.244,34.6
6.341,34.4
6.436,34.5
6.533,34.0
6.633,35.0
6.742,35.0
6.84,34.5
6.963,34.4
7.043,35.2
7.145,34.9
7.253,34.0
7.346,34.4
7.442,35.6
7.537,34.9
7.636,34.5
7.738,34.3
7.841,34.3
7.945,34.5
8.046,35.1
8.15,33.9
8.239,33.8
8.346,35.1
8.445,35.1
8.544,34.2
8.646,34.3
8.749,34.5
8.844,34.1
8.946,34.6
9.046,35.7
9.148,35.6
9.25,34.1
9.35,34.5
9.444,34.1
9.549,34.6
9.653,35.2
9.743,34.7
9.848,34.5
9.957,34.4
10.049,33.6
10.153,34.3
10.274,35.3
10.356,33.9
10.449,34.4
10.551,35.1
