Wed Dec 04 2019 14:47:45 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.089,80.7
0.185,80.7
0.278,80.7
0.372,80.2
0.464,80.2
0.55,80.7
0.647,80.2
0.74,71.1
0.835,70.6
0.929,70.6
1.023,70.6
1.113,70.1
1.206,70.6
1.301,70.6
1.393,71.1
1.486,71.1
1.58,71.1
1.674,71.6
1.766,71.1
1.864,71.6
1.964,71.6
2.074,71.6
2.143,72.1
2.236,72.1
2.331,72.1
2.418,72.1
2.514,72.1
2.608,72.6
2.7,72.1
2.807,72.6
2.912,73.6
2.978,73.1
3.074,73.1
3.166,73.1
3.258,73.1
3.352,73.6
3.445,73.1
3.539,73.6
3.632,73.6
3.725,73.6
3.819,73.6
3.916,73.6
4.008,73.6
4.098,73.6
4.191,73.6
4.284,73.6
4.378,73.6
4.477,73.6
4.567,73.6
4.662,73.6
4.752,83.3
4.844,83.8
4.941,84.3
5.034,84.8
5.134,85.3
5.229,84.8
5.314,85.3
5.407,85.3
5.498,85.3
5.591,85.3
5.685,84.8
5.778,85.3
5.867,84.8
5.963,84.8
6.058,84.3
6.153,84.3
6.243,84.8
6.344,84.3
6.439,84.3
6.524,84.3
6.616,83.8
6.711,84.3
6.804,83.8
6.897,83.8
6.995,83.8
7.084,83.3
7.177,83.8
7.271,83.3
7.365,83.3
7.456,82.8
7.549,82.8
7.643,82.8
7.738,82.8
7.831,82.8
7.933,82.2
8.019,82.2
8.122,82.2
8.204,81.7
8.297,81.7
8.39,81.7
8.49,81.7
8.577,81.7
8.669,81.7
8.772,81.7
8.856,81.7
8.953,81.2
9.045,81.7
9.143,81.2
9.232,81.2
9.322,81.2
9.422,81.2
9.509,81.2
