Mon Dec 23 2019 18:39:35 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.044,99.0
0.046,98.5
0.121,98.5
0.148,98.0
0.317,98.0
0.343,98.0
0.516,98.0
0.57,98.0
0.709,82.0
0.732,79.5
0.902,67.2
0.93,65.1
1.231,54.9
1.233,54.9
1.372,44.6
1.374,44.6
1.5,36.4
1.525,35.9
1.685,29.7
1.709,29.2
1.878,24.1
1.905,23.6
2.076,19.5
2.104,19.0
2.324,15.9
2.328,15.9
2.583,12.3
2.585,12.3
2.665,9.2
2.689,9.2
2.864,7.2
2.889,6.7
3.052,5.1
3.078,5.1
3.25,3.6
3.273,3.6
3.444,2.6
3.469,2.6
3.639,1.5
3.703,2.0
3.985,1.0
3.993,1.0
4.077,1.0
4.082,1.0
4.225,0.5
4.252,1.0
4.422,0.5
4.451,0.5
4.618,0.5
4.644,0.5
4.815,0.5
4.838,0.5
5.191,0.5
5.195,0.5
5.211,0.5
5.246,0.5
5.4,0.5
5.438,0.5
5.599,0.5
5.632,0.5
5.795,0.5
5.827,1.0
5.992,1.0
6.018,1.0
6.186,1.0
6.207,1.0
6.546,1.0
6.552,1.5
6.603,2.0
6.617,2.0
6.766,2.0
6.796,2.0
6.966,2.0
7,2.0
7.157,2.6
7.187,2.6
7.371,2.6
7.382,2.6
7.674,3.1
7.677,3.1
7.769,3.1
7.788,3.1
7.942,3.1
7.977,3.1
8.14,3.6
8.178,3.6
8.335,3.6
8.358,3.6
8.53,3.6
8.572,3.6
8.73,4.1
8.789,4.1
9.094,4.1
9.097,4.1
9.12,4.6
9.158,4.1
9.315,4.6
9.338,4.6
9.512,4.6
9.532,4.6
9.712,4.6
9.73,4.6
9.905,4.6
9.927,4.6
10.105,4.6
10.125,5.1
10.404,5.1
10.405,5.1
10.493,5.1
10.522,5.1
