Wed Nov 27 2019 20:07:28 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.037,0.0
0.145,0.0
0.235,0.0
0.35,0.0
0.457,0.0
0.564,0.0
0.66,0.5
0.764,0.0
0.866,0.5
0.967,0.5
1.081,0.5
1.146,0.5
1.275,0.5
1.379,0.0
1.479,0.0
1.575,0.0
1.684,0.0
1.767,0.5
1.88,0.0
1.987,0.0
2.098,0.5
2.189,0.5
2.284,0.5
2.383,0.5
2.487,0.5
2.587,0.5
2.692,0.5
2.791,0.5
2.896,0.0
2.992,0.0
3.093,0.0
3.194,0.0
3.299,0.0
3.389,0.0
3.47,0.0
3.588,0.0
3.682,0.0
3.774,0.0
3.902,0.0
3.972,0.0
4.083,0.0
4.185,0.5
4.296,0.0
4.397,0.0
4.499,0.5
4.603,0.0
4.707,0.5
4.783,0.5
4.918,0.5
4.979,0.5
5.102,0.5
5.202,0.5
5.304,0.5
5.406,0.5
5.505,0.5
5.605,0.5
5.708,0.0
5.803,0.5
5.91,0.5
6.007,0.5
6.109,0.0
6.187,0.5
6.311,0.0
6.408,0.0
6.509,0.5
6.61,0.0
6.71,0.0
6.811,0.0
6.911,0.0
7.017,0.0
7.12,0.0
7.204,0.0
7.302,0.0
7.394,0.0
7.488,0.0
7.589,0.0
7.689,0.0
7.79,0.5
7.89,0.5
7.999,0.5
8.094,0.5
8.191,0.5
8.292,0.5
8.396,0.5
8.494,0.5
