Wed Nov 27 2019 19:56:25 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.05,21.0
0.168,21.3
0.249,20.3
0.349,21.0
0.45,21.3
0.548,21.0
0.659,21.0
0.76,21.3
0.853,21.3
0.954,21.3
1.06,21.3
1.152,21.0
1.255,21.3
1.356,21.0
1.479,21.3
1.632,20.8
1.673,20.8
1.757,21.0
1.856,21.0
2.058,21.0
2.082,18.3
2.17,20.8
2.271,21.0
2.372,21.0
2.474,21.0
2.578,21.0
2.673,21.0
2.772,21.3
2.873,21.0
2.974,21.0
3.074,21.3
3.174,21.3
3.274,21.0
3.375,21.0
3.476,21.0
3.576,21.0
3.679,21.3
3.779,21.0
3.879,21.3
3.98,21.3
4.106,21.0
4.182,21.3
4.282,21.3
4.388,21.0
4.491,20.3
4.585,21.0
4.691,21.3
4.787,20.0
4.885,16.3
4.985,15.3
5.09,14.8
5.187,13.5
5.288,12.8
5.39,14.3
5.49,14.5
5.59,15.0
5.69,15.3
5.79,16.0
5.89,16.3
5.991,16.5
6.115,17.3
6.195,17.5
6.3,17.8
6.396,18.0
6.495,18.3
6.601,18.3
6.704,18.8
6.807,18.5
6.905,18.8
7.006,18.8
7.106,18.8
7.213,19.0
7.308,19.0
7.407,19.0
7.507,19.0
7.609,19.0
7.709,19.3
7.813,19.3
7.916,19.3
8.046,19.3
8.129,19.3
8.219,18.5
8.319,19.5
8.421,19.5
8.523,19.3
8.621,19.5
8.719,19.3
8.825,19.5
8.924,19.5
9.024,19.8
9.125,19.5
9.227,19.8
9.329,19.8
9.428,19.8
9.531,19.5
