Wed Nov 27 2019 20:09:07 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.067,21.8
0.165,21.8
0.267,21.8
0.37,21.8
0.47,21.8
0.568,21.8
0.671,21.8
0.779,19.8
0.879,18.8
0.971,18.0
1.118,16.8
1.175,16.8
1.274,16.3
1.379,16.5
1.478,16.8
1.574,16.8
1.678,17.3
1.778,17.8
1.877,17.8
1.983,18.3
2.074,18.8
2.184,18.8
2.285,19.0
2.387,19.3
2.489,19.5
2.59,19.5
2.686,19.5
2.792,19.8
2.911,19.8
3.008,19.8
3.093,20.0
3.196,20.0
3.293,20.0
3.397,20.0
3.495,20.0
3.599,20.3
3.695,20.3
3.798,20.3
3.898,20.3
3.999,20.3
4.098,20.5
4.2,20.5
4.299,20.3
4.408,20.5
4.501,20.5
4.607,20.5
4.703,20.5
4.816,20.5
4.907,20.5
5.009,20.5
5.119,20.5
5.22,20.5
5.319,20.8
5.42,20.8
5.521,20.8
5.618,20.8
5.719,20.8
5.819,20.8
5.918,20.8
6.021,20.8
6.124,20.8
6.244,20.8
6.32,20.8
6.432,20.8
6.522,20.8
6.619,21.0
6.717,20.8
6.818,20.8
6.92,21.0
7.023,21.0
7.12,21.0
7.222,21.0
7.322,21.0
7.421,21.0
7.526,21.0
7.624,21.0
7.728,21.0
7.827,21.0
7.928,21.0
8.04,21.0
8.131,21.0
8.234,21.0
8.332,21.0
8.43,21.0
8.529,21.3
