Wed Dec 04 2019 14:41:30 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.006,59.9
0.094,59.9
0.191,60.4
0.292,59.9
0.377,59.9
0.471,60.4
0.567,59.9
0.66,59.9
0.76,52.8
0.845,52.8
0.937,52.8
1.032,52.3
1.124,52.3
1.218,52.3
1.312,51.8
1.403,52.8
1.497,52.8
1.589,52.8
1.683,52.8
1.777,52.8
1.871,53.3
1.962,52.8
2.057,53.8
2.151,53.3
2.245,53.3
2.339,53.8
2.439,53.3
2.537,54.3
2.615,54.3
2.712,54.3
2.805,54.3
2.899,54.3
2.99,54.3
3.086,54.3
3.177,54.8
3.28,54.3
3.363,54.8
3.457,54.8
3.546,54.8
3.641,54.8
3.737,54.8
3.828,54.8
3.928,54.8
4.014,54.8
4.108,54.8
4.202,54.8
4.297,54.8
4.387,55.3
4.48,54.8
4.574,55.3
4.675,55.3
4.761,55.3
4.855,55.3
4.949,55.3
5.04,55.3
5.133,55.3
5.227,55.3
5.321,55.8
5.414,55.3
5.506,55.8
5.6,55.8
5.695,55.8
5.786,55.8
5.881,55.3
5.975,55.8
6.069,55.8
6.162,55.8
6.255,55.8
6.346,55.8
6.44,56.4
6.535,55.8
6.633,56.4
6.72,56.4
6.819,64.0
6.907,64.5
7.007,64.5
7.094,64.5
7.204,65.0
7.279,64.0
7.373,64.0
7.468,64.0
7.591,64.0
7.65,63.5
7.745,64.0
7.837,63.5
7.933,63.5
8.029,63.5
8.126,63.5
8.237,63.5
8.324,63.5
8.397,63.0
8.494,63.5
8.635,63.0
8.675,63.0
8.772,63.0
8.864,63.0
8.971,63.0
9.058,63.0
9.148,63.0
9.246,63.0
9.344,62.4
9.422,63.0
9.518,62.4
9.615,62.4
9.715,62.4
9.817,62.4
9.894,62.4
9.99,62.4
10.078,62.4
10.172,62.4
10.265,61.9
10.357,62.4
10.452,61.9
10.544,62.4
10.675,61.9
10.728,61.9
10.822,62.4
10.919,61.9
11.008,61.9
11.112,61.9
11.209,61.9
11.293,61.9
11.385,62.4
11.478,61.9
11.574,61.9
