Mon Dec 23 2019 18:38:21 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.009,0.1
0.103,0.2
0.227,0.1
0.324,0.1
0.409,0.1
0.515,0.2
0.594,0.2
0.69,3.1
0.996,48.1
1.058,100.4
1.061,96.6
1.084,87.8
1.175,80.4
1.313,73.0
1.405,65.1
1.51,56.8
1.575,48.9
1.68,41.5
1.763,34.5
1.858,28.3
1.96,22.8
2.053,17.8
2.162,12.9
2.427,8.2
2.439,4.0
2.474,0.2
2.567,-3.4
2.669,-6.8
2.744,-10.0
2.861,-12.9
3.018,-15.7
3.151,-18.2
3.155,-20.4
3.271,-22.5
3.396,-24.5
3.63,-26.5
3.636,-28.2
3.662,-29.7
3.731,-31.1
3.82,-32.4
3.911,-33.7
4.012,-34.9
4.107,-35.7
4.206,-36.3
4.303,-36.8
4.4,-37.3
4.571,-37.6
4.846,-37.7
4.858,-38.0
4.863,-38.1
4.896,-38.3
5.012,-38.5
5.087,-38.7
5.184,-39.0
5.281,-39.1
5.378,-39.3
5.478,-39.3
5.577,-39.5
5.707,-39.6
5.825,-39.7
5.888,-40.0
6.097,-40.6
6.265,-40.7
6.271,-40.7
6.281,-40.6
6.372,-40.7
6.456,-40.8
6.556,-40.9
6.651,-40.9
6.815,-41.0
6.876,-40.9
6.982,-41.0
7.069,-41.0
7.43,-41.1
7.438,-41.1
7.444,-41.1
7.45,-41.1
7.604,-41.3
7.64,-41.3
7.73,-41.3
7.825,-41.3
7.959,-41.3
8.054,-41.4
8.146,-41.5
8.226,-41.5
8.34,-41.5
8.421,-41.5
8.518,-41.4
8.801,-41.5
8.808,-41.5
8.815,-41.6
8.904,-41.6
8.998,-41.5
9.136,-41.5
9.214,-41.5
9.318,-41.6
9.404,-41.5
9.503,-41.4
9.588,-41.5
9.687,-41.5
9.968,-41.5
9.984,-41.5
9.994,-41.5
10.079,-41.5
10.204,-41.5
10.292,-41.5
10.383,-41.4
10.482,-41.4
10.566,-41.4
10.672,-41.4
