Wed Dec 04 2019 14:48:31 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.005,79.5
0.107,80.0
0.185,80.0
0.288,79.5
0.372,79.5
0.497,79.5
0.577,80.0
0.661,79.0
0.742,70.4
0.867,70.4
0.929,70.4
1.025,69.9
1.137,69.9
1.208,69.9
1.305,70.4
1.398,70.4
1.491,70.9
1.586,70.4
1.679,70.9
1.771,70.9
1.865,70.9
1.955,71.4
2.051,70.9
2.149,70.9
2.239,71.4
2.328,71.4
2.424,71.4
2.518,71.4
2.611,71.4
2.704,71.4
2.798,71.4
2.896,71.9
2.983,71.4
3.08,71.9
3.171,71.9
3.265,71.9
3.357,71.9
3.454,71.9
3.544,71.9
3.639,71.9
3.732,71.9
3.831,71.9
3.917,71.9
4.009,72.4
4.104,71.9
4.197,71.9
4.287,73.4
4.388,72.4
4.479,72.4
4.57,72.4
4.662,72.4
4.757,82.5
4.849,83.6
4.947,84.1
5.036,84.6
5.13,84.6
5.224,85.1
5.338,84.6
5.408,85.1
5.5,85.1
5.595,85.1
5.689,85.1
5.782,85.1
5.875,85.1
5.968,85.1
6.065,84.6
6.155,84.6
6.247,84.6
6.343,84.6
6.441,84.6
6.529,84.1
6.623,84.1
6.715,84.1
6.808,84.1
6.909,83.6
6.996,83.6
7.094,83.6
7.197,83.6
7.277,83.6
7.368,83.0
7.46,83.0
7.554,83.0
7.647,83.0
7.741,83.0
7.834,82.5
7.927,82.5
8.023,82.5
8.113,82.5
8.206,82.5
8.303,82.5
8.394,82.5
8.488,82.0
8.58,82.0
8.677,82.0
8.768,81.5
8.864,82.0
8.954,81.5
9.047,81.5
9.142,81.5
9.233,81.5
9.327,81.5
9.419,81.5
9.518,82.5
