Fri Nov 29 2019 14:38:23 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.062,95.9
0.154,95.9
0.251,95.4
0.339,95.4
0.432,95.4
0.528,95.4
0.617,95.4
0.711,78.7
0.803,64.4
0.897,53.3
0.99,43.6
1.079,35.5
1.18,28.9
1.315,23.3
1.36,16.2
1.469,14.7
1.559,11.1
1.642,8.6
1.735,6.1
1.828,4.5
1.921,2.5
2.016,1.5
2.109,0.5
2.198,-0.0
2.297,-0.0
2.384,-0.5
2.482,-0.0
2.595,-0.0
2.691,-0.5
2.763,-0.0
2.854,-0.5
2.948,-0.0
3.042,-0.5
3.14,-0.5
3.226,-0.5
3.321,-0.5
3.414,-0.0
3.502,-0.5
3.601,-0.5
3.697,-0.0
3.784,-0.5
3.877,-0.0
3.973,-0.5
4.072,-0.5
4.161,-0.0
4.249,-0.5
4.345,-0.0
4.432,-0.5
4.532,-0.5
4.628,-0.5
4.712,-0.5
4.815,-0.0
4.903,-0.5
4.994,-0.0
5.089,-0.5
5.182,-0.5
5.272,-0.0
5.37,-0.5
5.457,-0.0
5.554,-0.5
5.648,-0.5
5.739,-0.0
5.833,-0.0
5.927,-0.0
6.019,-0.5
6.113,-0.0
6.205,-0.0
6.295,-0.0
6.391,-0.0
6.482,-0.5
6.578,-0.0
6.678,-0.0
6.771,-0.0
6.859,-0.0
6.948,-0.0
7.04,-0.0
7.132,-0.0
7.229,-0.0
7.323,-0.0
7.414,-0.0
7.508,-0.0
7.6,-0.0
7.699,-0.0
7.795,-0.0
7.883,-0.0
7.975,-0.0
8.069,-0.5
8.162,-0.0
8.254,-0.0
8.343,-0.0
8.443,-0.0
8.532,-0.5
8.626,-0.0
8.722,-0.0
8.819,-0.0
8.906,-0.0
9.007,-0.0
9.094,-0.0
9.186,-0.5
9.279,-0.0
9.369,-0.0
9.465,-0.0
