Fri Nov 29 2019 14:39:02 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.086,18.5
0.18,18.3
0.277,18.8
0.373,18.5
0.461,18.5
0.553,18.5
0.647,18.8
0.738,18.0
0.836,13.8
0.934,12.5
1.028,11.3
1.113,10.8
1.207,9.5
1.305,8.8
1.394,8.8
1.487,9.3
1.577,9.8
1.668,10.0
1.765,11.0
1.857,11.0
1.957,12.3
2.044,12.8
2.138,13.0
2.231,13.8
2.323,14.3
2.414,14.5
2.51,15.0
2.601,15.3
2.701,15.5
2.785,15.0
2.883,15.5
2.977,15.3
3.07,16.0
3.16,16.0
3.254,16.0
3.347,16.0
3.441,16.0
3.531,16.3
3.629,16.3
3.717,16.5
3.816,16.5
3.904,16.5
3.999,16.5
4.09,16.5
4.184,16.8
4.277,16.5
4.371,17.0
4.463,16.8
4.561,17.0
4.65,17.0
4.746,17.0
4.832,17.0
4.93,17.3
5.03,17.3
5.118,17.0
5.209,17.0
5.31,17.3
5.396,17.0
5.489,17.3
5.58,17.3
5.674,17.3
5.772,17.5
5.857,17.5
5.954,16.8
6.048,17.5
6.141,17.5
6.233,17.5
6.326,17.8
6.424,17.0
6.512,17.5
6.605,17.5
6.697,17.5
6.797,17.8
6.883,17.8
6.986,17.8
7.076,17.5
7.168,17.8
7.259,17.5
7.351,17.8
7.444,17.8
7.539,17.3
7.63,17.8
7.732,18.0
7.829,17.8
7.908,17.8
8.002,18.0
8.101,17.5
8.196,17.8
8.28,18.0
8.381,17.5
8.468,18.0
8.559,18.0
8.651,17.8
8.74,18.0
8.842,18.0
8.927,17.5
9.025,18.0
9.124,18.0
9.218,17.5
9.307,18.0
9.405,18.3
9.495,18.0
