Wed Nov 27 2019 20:09:57 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.064,21.8
0.162,21.8
0.263,21.8
0.366,21.8
0.465,21.5
0.561,21.8
0.665,21.8
0.773,19.8
0.862,18.8
0.97,17.8
1.076,16.5
1.178,16.3
1.27,16.3
1.371,16.3
1.474,16.3
1.573,16.5
1.674,16.8
1.773,17.3
1.883,17.5
1.985,18.0
2.086,18.3
2.187,18.5
2.285,18.8
2.384,18.8
2.487,19.0
2.587,19.3
2.688,19.3
2.79,19.5
2.886,19.5
2.992,19.5
3.1,19.8
3.197,19.8
3.295,19.8
3.39,20.0
3.495,20.0
3.602,20.0
3.703,20.0
3.797,20.0
3.898,20.0
4.006,20.0
4.102,20.0
4.201,20.3
4.3,20.0
4.399,20.3
4.5,20.3
4.603,20.3
4.702,20.3
4.8,20.3
4.908,20.3
5.001,20.3
5.11,20.3
5.259,20.3
5.309,19.0
5.405,20.3
5.503,20.3
5.604,20.5
5.704,20.5
5.805,20.5
5.907,20.5
6.009,20.5
6.108,20.5
6.209,20.5
6.308,20.5
6.409,20.5
6.509,20.8
6.619,20.5
6.718,20.5
6.813,20.5
6.909,20.8
7.013,20.5
7.115,20.8
7.218,20.8
7.313,20.8
7.413,20.8
7.519,20.8
7.614,20.8
7.715,20.8
7.819,20.8
7.918,20.8
8.015,20.8
8.119,20.8
8.22,21.0
8.323,21.0
8.432,20.8
8.52,20.8
