Wed Dec 04 2019 14:36:20 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.024,22.1
0.121,22.6
0.205,22.1
0.304,22.1
0.393,22.1
0.485,22.1
0.579,22.1
0.67,21.6
0.767,14.5
0.861,14.5
0.954,14.5
1.05,14.5
1.14,14.5
1.233,15.0
1.332,14.5
1.42,15.0
1.513,14.5
1.606,14.5
1.699,15.0
1.796,15.0
1.891,15.0
1.98,15.0
2.074,14.5
2.172,14.5
2.259,14.5
2.352,15.0
2.451,15.0
2.537,15.0
2.632,15.5
2.728,14.5
2.815,15.0
2.909,14.5
3.009,15.0
3.096,14.5
3.2,15.0
3.285,15.0
3.379,14.5
3.473,15.0
3.566,15.0
3.661,14.5
3.752,15.0
3.843,14.5
3.946,15.0
4.03,15.0
4.125,15.0
4.217,15.0
4.312,15.0
4.402,15.0
4.498,15.0
4.598,15.0
4.685,15.5
4.778,14.5
4.871,14.5
4.965,15.0
5.055,15.0
5.151,15.5
5.244,15.0
5.358,15.5
5.432,15.0
5.524,15.5
5.617,15.5
5.71,15.0
5.804,15.5
5.898,15.0
5.99,15.0
6.089,15.5
6.177,15.0
6.271,15.5
6.37,15.0
6.457,15.5
6.55,15.0
6.644,15.5
6.738,15.5
6.829,14.5
6.925,15.0
7.016,15.5
7.109,15.5
7.202,15.5
7.295,15.0
7.389,15.5
7.482,15.5
7.577,15.5
7.67,15.5
7.763,15.5
7.858,15.5
7.948,15.5
8.041,15.5
8.133,15.5
8.231,15.5
8.322,15.5
8.418,15.5
8.509,15.5
8.602,15.5
8.699,15.0
8.788,15.5
8.883,15.0
8.98,15.0
9.069,15.5
9.182,15.0
9.259,15.5
9.347,15.0
9.442,15.5
9.536,15.5
9.628,15.0
9.721,16.1
9.817,15.0
9.909,15.5
10.001,15.5
10.104,15.0
10.201,16.1
10.28,15.5
10.38,15.0
10.466,15.5
10.56,16.1
10.655,16.1
10.743,15.5
10.839,22.6
10.932,23.7
11.028,24.2
11.121,24.2
11.213,24.2
11.306,24.7
11.398,24.7
11.494,24.7
11.585,24.7
11.679,24.7
11.778,25.2
11.867,24.7
11.96,24.7
12.052,24.7
12.148,24.7
12.238,24.7
12.332,24.7
12.428,24.7
12.522,24.7
12.612,24.7
12.705,24.7
12.8,24.7
12.891,24.7
12.987,24.7
13.08,24.2
13.176,24.7
13.264,24.2
13.355,24.2
13.454,24.2
13.546,24.2
13.64,24.2
13.732,23.7
13.825,23.7
13.918,23.7
14.01,23.7
14.103,23.7
14.198,24.2
14.303,23.7
14.387,23.7
14.477,23.7
14.588,23.7
14.661,23.7
14.758,23.7
14.851,23.2
14.945,23.7
15.037,23.2
15.141,23.2
15.226,23.7
15.321,23.2
15.409,23.2
15.506,23.2
15.598,23.2
