Fri Nov 29 2019 14:41:36 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.065,96.9
0.161,96.4
0.26,96.4
0.345,96.4
0.438,96.4
0.531,95.9
0.63,95.9
0.724,76.6
0.807,64.4
0.905,53.3
0.995,43.1
1.098,35.0
1.19,28.9
1.283,22.8
1.369,18.3
1.462,14.2
1.557,10.6
1.65,8.1
1.742,6.1
1.833,4.0
1.931,2.5
2.019,1.0
2.115,1.0
2.211,-0.0
2.303,-0.0
2.402,-0.0
2.49,-0.0
2.582,-0.0
2.677,-0.5
2.768,-0.5
2.857,-0.5
2.951,-0.5
3.048,-0.0
3.14,-0.5
3.234,-0.5
3.336,-0.5
3.422,-0.0
3.511,-0.0
3.603,-0.5
3.697,-0.0
3.79,-0.0
3.88,-0.5
3.976,-0.5
4.076,-0.5
4.165,-0.0
4.258,-0.5
4.354,-0.5
4.444,-0.0
4.546,-0.5
4.628,-0.0
4.726,-0.5
4.815,-0.5
4.912,-0.5
5.003,-0.5
5.097,-0.0
5.187,-0.5
5.284,-0.0
5.381,-0.5
5.469,-0.0
5.56,-0.0
5.654,-0.5
5.749,-0.0
5.842,-0.5
5.93,-0.0
6.026,-0.0
6.12,-0.5
6.211,-0.0
6.308,-0.0
6.403,-0.0
6.494,-0.0
6.584,-0.0
6.677,-0.0
6.77,-0.5
6.865,-0.0
6.957,-0.0
7.05,-0.0
7.143,-0.0
7.233,-0.0
7.329,-0.0
7.428,-0.0
7.534,-0.0
7.668,-0.0
7.703,-0.5
7.805,-0.0
7.941,-0.0
8.086,-0.0
8.092,-0.0
8.168,2.0
8.261,-0.0
8.357,-0.0
8.449,-0.0
8.54,-0.0
8.633,-0.5
8.728,-0.0
8.819,-0.5
8.912,-0.0
9.012,-0.0
9.102,-0.0
9.189,-0.0
9.281,-0.0
9.377,-0.0
9.475,-0.0
