Fri Nov 29 2019 14:34:40 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.092,97.9
0.193,97.9
0.293,97.9
0.396,97.9
0.495,95.4
0.642,97.4
0.699,92.9
0.797,75.6
0.9,61.9
1.003,50.7
1.105,40.6
1.203,33.0
1.301,26.9
1.401,21.3
1.499,16.7
1.6,13.2
1.702,9.6
1.802,7.1
1.908,4.5
2.002,3.5
2.103,2.0
2.203,1.0
2.302,0.5
2.405,-0.0
2.504,-0.0
2.608,-0.5
2.705,-0.5
2.806,-0.5
2.91,-0.5
3.007,-0.5
3.189,-0.0
3.218,-0.0
3.326,-0.0
3.472,-0.0
3.599,-2.6
3.613,-0.5
3.738,-0.5
3.831,-0.5
3.919,-0.5
4.017,-0.5
4.118,-0.5
4.219,-0.5
4.32,-0.5
4.419,-0.5
4.524,-0.5
4.661,-0.5
4.724,-0.5
4.822,-0.5
4.927,-0.0
5.03,-0.0
5.123,-0.0
5.229,-0.0
5.332,-0.0
5.43,-0.0
5.533,-0.0
5.63,-0.0
5.728,-0.0
5.831,-0.0
5.931,-0.0
6.035,-0.0
6.13,-0.0
6.233,-0.0
6.343,-0.0
6.435,-0.0
6.543,-2.6
6.655,-0.5
6.77,-0.5
6.873,-0.5
6.94,-0.5
7.042,-0.0
7.157,-0.0
7.246,-0.0
7.343,-0.0
7.444,-0.0
7.546,-0.0
7.641,-0.0
7.743,-0.0
7.844,0.5
7.947,-0.0
8.082,0.5
8.148,-0.0
8.247,-0.0
8.346,-0.0
8.444,-0.0
8.548,-0.0
8.706,-0.0
8.749,-0.0
8.852,-0.0
8.952,-0.0
9.053,-0.5
9.154,-0.5
9.255,-0.0
9.355,-0.0
9.458,-0.0
9.556,-0.0
9.657,-0.0
