Wed Dec 04 2019 14:53:53 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.122,99.8
0.173,99.8
0.271,99.3
0.363,99.8
0.457,99.3
0.553,99.8
0.653,99.8
0.736,92.7
0.831,92.7
0.927,92.2
1.016,92.2
1.109,92.7
1.205,92.2
1.295,93.2
1.388,93.2
1.482,93.2
1.575,93.2
1.704,94.2
1.761,93.7
1.856,93.7
1.948,93.7
2.041,94.2
2.142,94.2
2.229,94.7
2.321,94.2
2.422,94.7
2.504,94.7
2.601,94.7
2.694,95.2
2.795,104.9
2.881,105.4
2.973,105.4
3.069,105.4
3.159,105.9
3.253,105.9
3.346,104.9
3.445,104.4
3.533,104.4
3.624,104.4
3.719,104.4
3.813,103.9
3.911,103.4
4.001,103.4
4.095,103.4
4.187,102.8
4.279,102.8
4.372,102.3
4.476,102.3
4.562,101.8
4.652,101.8
4.752,101.8
4.846,101.8
4.944,101.8
5.04,101.8
5.123,101.3
5.221,101.8
5.306,101.3
5.398,101.8
5.492,101.8
5.585,101.3
5.679,101.8
5.771,101.3
5.865,101.3
5.958,101.3
6.051,101.3
6.146,101.3
6.24,101.3
6.332,101.3
6.427,101.3
6.547,101.3
6.61,101.3
6.705,101.3
6.798,101.3
6.89,101.3
6.985,100.8
7.077,101.3
7.171,101.3
7.264,101.3
7.357,101.3
7.451,101.3
7.543,101.3
