Fri Nov 29 2019 14:40:45 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.032,18.8
0.13,18.5
0.218,18.8
0.311,18.0
0.408,18.5
0.508,18.8
0.658,18.3
0.68,18.5
0.78,18.0
0.869,15.5
0.963,12.8
1.057,11.8
1.147,10.8
1.244,10.0
1.346,9.0
1.43,8.5
1.527,8.8
1.622,9.8
1.731,10.5
1.8,11.3
1.889,11.5
1.985,11.8
2.077,13.0
2.172,13.5
2.259,13.3
2.356,14.3
2.455,15.0
2.548,14.8
2.64,15.3
2.735,15.3
2.827,15.5
2.923,15.8
3.015,16.0
3.104,15.5
3.194,16.0
3.292,16.0
3.388,16.0
3.474,16.3
3.568,16.0
3.661,16.5
3.763,16.5
3.849,16.5
3.941,16.8
4.036,16.8
4.125,16.8
4.218,17.0
4.313,17.0
4.403,16.8
4.502,16.8
4.6,17.0
4.685,17.0
4.784,17.3
4.879,17.3
4.968,17.0
5.06,17.3
5.152,17.3
5.253,17.0
5.342,17.3
5.432,17.5
5.534,17.0
5.617,17.5
5.71,17.5
5.807,17.3
5.897,17.5
5.993,17.5
6.084,17.5
6.172,17.5
6.273,17.8
6.363,17.3
6.457,17.5
6.551,17.8
6.643,17.5
6.738,17.8
6.828,17.3
6.921,17.8
7.023,17.8
7.105,17.8
7.21,17.8
7.318,17.5
7.385,18.0
7.482,17.8
7.579,18.0
7.671,17.5
7.762,18.0
7.853,18.0
7.946,17.5
8.041,18.0
8.129,18.0
8.223,18.0
8.319,18.0
8.407,18.0
8.505,17.8
8.624,18.0
8.766,18.0
8.783,17.5
8.879,17.0
8.983,18.3
9.066,17.3
9.158,18.3
9.259,18.3
9.344,18.0
9.433,18.3
9.522,18.3
