Fri Nov 29 2019 14:39:02 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.079,95.7
0.171,95.7
0.269,95.2
0.358,95.2
0.452,95.2
0.545,94.7
0.638,94.7
0.729,77.5
0.825,64.3
0.924,52.6
1.011,43.0
1.104,34.8
1.197,28.2
1.293,23.2
1.384,18.1
1.478,14.5
1.568,11.0
1.659,7.9
1.755,5.9
1.848,3.9
1.948,2.3
2.033,1.3
2.129,0.3
2.223,0.3
2.314,-0.2
2.407,-0.2
2.501,-0.2
2.592,-0.2
2.689,-0.2
2.776,-0.7
2.872,-0.2
2.968,-0.7
3.062,-0.2
3.152,-0.2
3.245,-0.7
3.338,-0.2
3.432,-0.2
3.523,-0.2
3.62,-0.2
3.707,-0.2
3.805,-0.2
3.898,-0.2
3.991,-0.2
4.083,-0.2
4.176,-0.2
4.27,-0.2
4.363,-0.7
4.456,-0.2
4.55,-0.2
4.642,-0.2
4.734,0.3
4.825,-0.7
4.929,-0.2
5.02,-0.2
5.107,-0.2
5.201,-0.2
5.294,-0.2
5.387,-0.2
5.48,-0.2
5.573,-0.2
5.665,-0.2
5.759,0.3
5.849,-0.2
5.946,-0.2
6.04,-0.2
6.132,-0.2
6.226,-0.2
6.318,-0.2
6.411,-0.2
6.505,-0.2
6.598,-0.2
6.69,-0.2
6.787,-0.2
6.874,-0.2
6.971,-0.2
7.068,-0.2
7.157,-0.2
7.25,-0.2
7.343,-0.2
7.436,-0.2
7.53,-0.2
7.622,-0.2
7.714,-0.2
7.808,-0.2
7.899,-0.2
7.994,-0.2
8.092,-0.2
8.181,-0.2
8.271,-0.2
8.365,-0.2
8.459,-0.2
8.558,-0.2
8.646,-0.2
8.735,-0.2
8.832,-0.2
8.921,-0.2
9.017,-0.2
9.116,-0.2
9.206,-0.2
9.305,-0.2
9.403,-0.2
9.487,-0.2
