Fri Nov 29 2019 14:42:37 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.025,19.0
0.115,18.8
0.211,19.0
0.305,19.0
0.398,19.0
0.49,19.0
0.624,19.0
0.678,18.8
0.767,18.5
0.859,14.3
0.959,13.0
1.054,12.0
1.14,11.3
1.232,9.5
1.326,9.3
1.428,9.0
1.51,8.8
1.601,10.0
1.699,10.5
1.791,10.8
1.884,11.5
1.986,12.5
2.076,13.0
2.166,13.3
2.259,13.8
2.352,14.3
2.444,14.8
2.537,15.0
2.626,15.5
2.724,15.5
2.812,15.8
2.906,15.8
3.003,16.0
3.103,15.8
3.19,16.0
3.294,16.3
3.379,16.0
3.472,16.5
3.564,16.5
3.652,16.5
3.749,16.5
3.837,16.8
3.933,16.3
4.029,16.8
4.124,17.0
4.214,16.5
4.307,17.0
4.4,17.0
4.493,17.0
4.584,17.3
4.675,17.3
4.771,16.8
4.865,17.3
4.954,17.3
5.052,16.8
5.149,17.3
5.237,17.5
5.332,17.3
5.424,17.5
5.518,17.5
5.609,17.3
5.703,17.8
5.799,17.8
5.893,17.5
5.982,17.8
6.076,17.8
6.174,17.5
6.263,17.8
6.362,17.5
6.45,17.8
6.543,17.8
6.686,17.8
6.834,18.0
6.835,17.8
6.957,18.0
7.098,17.8
7.103,16.5
7.226,17.5
7.315,18.0
7.375,18.0
7.473,17.8
7.566,18.0
7.66,18.0
7.749,18.0
7.842,18.0
7.94,18.0
8.035,17.5
8.125,18.0
8.224,18.0
8.31,17.8
8.404,18.3
8.496,18.3
8.592,18.0
8.684,18.3
8.779,18.3
8.872,18.0
8.966,18.3
9.056,18.3
9.152,17.8
9.244,18.3
9.334,18.3
9.426,18.3
9.52,18.3
9.614,18.3
9.708,18.3
9.8,18.3
9.906,18.3
9.991,18.0
10.075,18.3
10.195,18.3
10.277,18.0
10.368,18.3
10.454,18.3
10.546,18.3
10.638,18.3
10.733,18.5
10.824,18.3
10.92,18.5
11.009,18.5
11.105,18.3
11.199,18.5
11.302,18.0
11.39,18.3
11.476,18.5
11.584,18.0
11.658,14.5
