Fri Nov 29 2019 14:40:45 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.021,96.8
0.115,96.3
0.208,96.3
0.301,96.3
0.397,95.7
0.488,95.7
0.577,95.7
0.671,95.2
0.767,78.5
0.86,63.8
0.954,53.1
1.048,43.0
1.137,35.3
1.234,28.2
1.336,22.6
1.42,18.1
1.511,14.5
1.605,11.0
1.702,8.4
1.794,5.9
1.883,4.4
1.979,2.3
2.067,1.3
2.161,0.3
2.252,0.3
2.35,-0.2
2.444,-0.2
2.535,-0.2
2.63,-0.2
2.724,-0.2
2.815,-0.2
2.912,-0.7
3.005,-0.2
3.093,-0.7
3.184,-0.2
3.282,-0.7
3.373,-0.2
3.466,-0.2
3.56,-0.7
3.653,-0.2
3.747,-0.7
3.839,-0.2
3.932,-0.2
4.027,-0.7
4.116,-0.2
4.209,-0.2
4.303,-0.2
4.395,-0.7
4.494,-0.7
4.585,-0.2
4.677,-0.2
4.771,-0.2
4.865,-0.2
4.958,-0.2
5.05,-0.2
5.145,-0.7
5.236,-0.2
5.326,-0.2
5.422,-0.2
5.524,-0.2
5.615,-0.2
5.702,-0.2
5.797,-0.2
5.889,-0.2
5.984,-0.2
6.074,0.3
6.165,-0.2
6.265,-0.2
6.352,-0.2
6.447,-0.2
6.54,-0.2
6.633,-0.2
6.727,-0.2
6.819,-0.2
6.913,-0.2
7.007,-0.2
7.096,0.3
7.196,-0.2
7.299,-0.2
7.376,-0.2
7.472,-0.2
7.57,-0.2
7.659,-0.2
7.752,-0.2
7.846,-0.2
7.938,-0.2
8.032,-0.2
8.12,0.3
8.214,-0.2
8.31,-0.2
8.399,-0.2
8.496,0.3
8.598,-0.2
8.753,-0.2
8.772,-0.2
8.87,-0.2
8.971,-0.2
9.056,-0.2
9.149,0.3
9.245,-0.2
9.331,-0.2
9.426,-0.2
9.517,-0.2
