Wed Dec 04 2019 14:35:22 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.061,0.0
0.156,0.0
0.249,0.0
0.343,0.0
0.438,0.0
0.527,0.0
0.624,0.1
0.717,2.0
0.809,4.1
0.905,4.3
1.002,4.3
1.093,4.4
1.181,4.4
1.287,4.4
1.38,4.4
1.463,4.4
1.552,4.4
1.649,4.3
1.739,4.3
1.838,4.4
1.929,4.4
2.02,4.5
2.115,4.5
2.211,4.5
2.301,4.5
2.401,4.5
2.488,4.6
2.583,4.6
2.668,4.6
2.77,4.6
2.889,4.6
2.95,4.7
3.047,4.7
3.142,4.7
3.233,4.7
3.327,4.7
3.421,4.7
3.514,4.7
3.604,4.8
3.699,4.8
3.793,4.8
3.891,4.8
3.98,4.8
4.072,4.8
4.166,4.8
4.262,4.8
4.356,4.8
4.448,4.8
4.539,4.8
4.632,4.8
4.722,4.8
4.819,4.9
4.908,4.9
5.006,4.9
5.097,4.9
5.191,4.9
5.293,4.9
5.38,4.9
5.469,4.9
5.565,4.9
5.662,4.9
5.751,4.9
5.849,5.0
5.939,5.0
6.028,5.0
6.126,5.0
6.22,5.0
6.31,5.0
6.406,5.0
6.497,5.0
6.592,5.0
6.683,5.0
6.777,5.0
6.871,5.0
6.965,5.0
7.057,5.0
7.149,5.0
7.262,5.0
7.336,5.0
7.435,5.0
7.523,5.0
7.616,5.0
7.709,5.0
7.799,5.0
7.897,5.0
7.99,5.0
8.086,5.0
8.178,5.0
8.286,5.0
8.368,5.0
8.456,5.0
8.552,5.0
8.65,5.0
8.744,5.0
8.837,5.0
8.924,5.0
9.019,5.0
9.116,5.0
9.204,5.0
9.29,4.9
9.388,4.9
9.489,4.9
9.604,4.9
9.663,4.9
9.76,4.9
9.871,4.9
9.945,4.9
10.038,4.9
10.134,4.9
10.232,4.9
10.323,4.9
10.413,4.9
10.507,4.9
10.602,4.8
10.695,4.8
10.787,3.0
10.883,0.6
10.974,0.2
11.075,0.2
11.176,0.2
11.25,0.2
11.344,0.2
11.44,0.2
11.528,0.2
11.622,0.2
11.719,0.2
11.812,0.2
11.905,0.2
12.013,0.2
12.09,0.2
12.185,0.2
12.278,0.1
12.376,0.1
12.471,0.1
12.576,0.1
12.652,0.1
12.747,0.1
12.855,0.1
12.932,0.1
13.025,0.1
13.123,0.1
13.213,0.1
13.307,0.1
13.397,0.1
13.492,0.1
13.582,0.1
13.678,0.1
13.772,0.1
13.875,0.1
13.959,0.1
14.051,0.1
14.143,0.1
14.239,0.1
14.331,0.1
14.425,0.1
14.518,0.1
14.611,0.1
