Wed Nov 27 2019 19:57:30 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.002,79.8
0.095,79.8
0.198,80.3
0.298,79.8
0.399,79.8
0.515,79.8
0.646,79.8
0.704,79.3
0.802,79.3
0.902,78.9
1.006,78.9
1.116,79.3
1.2,79.3
1.304,78.9
1.412,78.9
1.507,78.9
1.604,78.9
1.706,78.4
1.813,78.4
1.921,78.9
2.015,78.4
2.106,78.4
2.205,78.4
2.305,78.4
2.424,77.9
2.506,73.6
2.607,77.9
2.709,77.9
2.809,77.9
2.909,77.9
3.013,77.4
3.115,77.4
3.213,77.0
3.313,77.0
3.412,77.0
3.513,77.0
3.613,77.0
3.713,77.0
3.841,77.0
3.919,77.0
4.019,77.0
4.121,77.0
4.229,77.0
4.34,77.0
4.442,77.0
4.54,77.0
4.644,76.5
4.743,73.1
4.841,58.8
4.941,47.3
5.042,37.8
5.144,30.1
5.285,23.9
5.342,18.6
5.447,14.8
5.544,11.0
5.648,7.7
5.743,5.3
5.846,3.4
5.947,1.9
6.047,0.5
6.149,0.5
6.247,0.0
6.349,0.0
6.453,-0.5
6.549,-0.5
6.65,-0.5
6.752,-0.5
6.854,0.0
6.951,-0.5
7.063,-0.5
7.162,-0.5
7.264,-0.5
7.365,-0.5
7.465,-0.5
7.566,-0.5
7.666,-0.5
7.769,-0.5
7.869,-0.5
7.984,0.0
8.072,0.0
8.212,0.0
8.286,-11.0
8.374,-0.5
8.475,-0.5
8.577,-0.5
8.68,-0.5
8.775,-0.5
8.878,-0.5
8.977,-0.5
9.077,-0.5
9.178,-0.5
9.29,-0.5
9.38,-0.5
9.491,-0.5
9.58,-0.5
