Fri Nov 29 2019 14:37:57 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.004,18.8
0.095,18.8
0.183,18.0
0.274,18.8
0.369,18.8
0.46,18.3
0.552,18.8
0.649,18.8
0.744,18.5
0.835,13.8
0.927,12.5
1.025,11.3
1.111,11.3
1.205,10.5
1.3,10.3
1.393,10.3
1.484,10.3
1.581,9.8
1.669,9.8
1.768,9.8
1.854,9.3
1.95,9.8
2.049,9.8
2.145,9.3
2.231,9.8
2.323,10.0
2.428,10.0
2.513,10.0
2.603,10.3
2.694,10.5
2.794,10.5
2.885,10.5
2.977,10.5
3.075,10.8
3.163,10.8
3.26,10.5
3.347,10.8
3.45,10.5
3.534,10.8
3.628,10.8
3.719,10.8
3.811,10.8
3.908,11.0
3.996,10.8
4.096,10.8
4.191,10.8
4.282,10.8
4.374,11.0
4.468,10.8
4.565,10.8
4.651,11.0
4.742,11.0
4.835,11.3
4.927,12.0
5.028,12.5
5.122,12.0
5.21,12.0
5.305,13.0
5.395,13.3
5.488,13.5
5.583,13.8
5.711,13.8
5.835,14.3
5.865,12.3
5.956,13.8
6.047,14.8
6.145,14.8
6.233,14.8
6.328,14.5
6.444,15.3
6.51,15.0
6.608,15.5
6.711,15.5
6.833,14.0
6.887,12.8
6.982,11.8
7.069,12.0
7.17,12.8
7.258,13.0
7.352,13.0
7.445,13.5
7.539,13.5
7.629,14.0
7.724,14.0
7.821,14.3
7.913,14.5
8.004,14.8
8.144,14.8
8.237,14.8
8.288,15.0
8.377,15.0
8.469,15.5
8.576,15.5
8.705,15.5
8.749,15.8
8.837,15.8
8.935,15.8
9.023,16.0
9.122,16.0
9.216,16.0
9.314,16.0
9.4,16.3
9.493,16.3
