Wed Dec 04 2019 14:39:17 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.015,40.4
0.11,40.4
0.199,40.4
0.293,39.9
0.388,40.4
0.483,40.4
0.575,40.4
0.665,38.9
0.762,31.8
0.854,31.8
0.948,31.3
1.041,31.8
1.134,31.8
1.225,31.8
1.321,31.8
1.414,31.8
1.507,31.8
1.6,31.8
1.695,31.3
1.788,31.8
1.883,31.3
1.974,31.8
2.071,31.8
2.157,31.8
2.254,32.3
2.349,32.3
2.44,32.3
2.533,32.3
2.627,32.8
2.723,32.3
2.815,32.3
2.91,32.8
3,32.3
3.094,32.3
3.188,32.8
3.281,32.8
3.374,32.8
3.468,32.8
3.562,32.8
3.65,32.8
3.748,32.8
3.849,32.8
3.934,32.8
4.031,32.8
4.119,32.8
4.212,32.8
4.305,32.8
4.398,32.8
4.492,32.8
4.586,32.8
4.679,32.8
4.77,32.8
4.865,32.8
4.958,32.8
5.052,32.8
5.145,32.8
5.238,32.8
5.336,32.8
5.425,33.3
5.518,32.8
5.609,32.8
5.705,32.8
5.798,32.8
5.891,33.3
5.987,32.8
6.078,33.3
6.171,33.3
6.264,32.8
6.359,33.3
6.451,33.3
6.545,32.8
6.639,32.8
6.736,32.8
6.825,33.3
6.918,32.8
7.011,33.3
7.105,33.3
7.197,32.8
7.293,33.3
7.384,33.3
7.477,33.3
7.572,33.3
7.665,33.3
7.759,33.3
7.851,33.3
7.947,33.3
8.037,33.3
8.131,33.3
8.224,33.3
8.316,32.8
8.409,33.3
8.502,33.3
8.596,33.3
8.689,33.3
8.784,40.9
8.881,41.9
8.967,41.9
9.063,41.9
9.164,42.5
9.249,41.9
9.342,42.5
9.437,41.9
9.528,42.5
9.626,42.5
9.712,41.9
9.809,42.5
9.901,41.9
9.997,42.5
10.089,41.9
10.193,41.9
10.275,42.5
10.367,41.9
10.461,41.9
10.555,41.9
10.644,41.9
10.741,41.9
10.835,41.9
10.936,41.9
11.021,41.9
11.115,41.9
11.209,41.9
11.302,41.4
11.4,41.9
11.491,41.4
11.579,41.4
11.674,41.9
11.767,41.4
11.86,41.4
11.953,41.4
12.053,41.4
12.141,41.9
12.236,40.9
12.326,41.4
12.429,41.4
12.515,41.4
12.607,41.9
12.701,41.4
12.794,41.4
12.887,41.4
12.981,41.4
13.079,41.4
13.167,40.9
13.259,40.9
13.353,41.4
13.447,41.4
13.546,41.4
