Mon Dec 23 2019 18:16:23 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.523,NaN
0.536,NaN
0.566,NaN
0.584,NaN
0.796,NaN
0.932,NaN
1.188,NaN
1.33,NaN
1.858,NaN
1.866,NaN
1.909,NaN
2.111,NaN
2.302,NaN
2.497,NaN
2.692,NaN
2.889,NaN
3.086,NaN
3.28,NaN
3.477,NaN
3.681,NaN
3.867,NaN
4.069,NaN
4.26,NaN
4.455,NaN
4.656,NaN
4.847,NaN
5.058,NaN
5.241,NaN
5.433,NaN
5.63,NaN
5.828,NaN
6.022,NaN
6.217,NaN
6.415,NaN
6.609,NaN
6.805,NaN
