Wed Nov 27 2019 20:10:14 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.012,21.3
0.107,21.5
0.21,21.5
0.308,21.5
0.411,21.5
0.514,21.5
0.663,21.5
0.709,21.5
0.813,20.3
0.911,19.0
1.011,17.3
1.112,16.8
1.22,16.3
1.313,16.3
1.42,16.3
1.519,16.3
1.619,16.8
1.722,17.0
1.819,17.5
1.932,17.8
2.016,18.0
2.12,18.5
2.231,18.8
2.319,18.8
2.423,19.0
2.518,19.3
2.614,19.3
2.726,19.3
2.828,19.5
2.93,19.5
3.041,19.8
3.132,19.8
3.231,19.5
3.335,19.8
3.434,19.8
3.534,19.8
3.638,20.0
3.734,20.0
3.843,20.0
3.936,20.0
4.034,20.0
4.137,20.0
4.238,20.3
4.339,20.0
4.441,20.3
4.541,20.0
4.646,20.0
4.766,20.3
4.843,20.0
4.944,20.3
5.044,20.3
5.159,20.5
5.244,20.5
5.344,20.3
5.459,20.5
5.547,19.5
5.648,20.3
5.745,20.5
5.846,20.5
5.95,20.5
6.05,20.5
6.149,20.5
6.249,20.5
6.352,20.5
6.451,20.5
6.551,20.5
6.653,20.5
6.76,20.8
6.854,20.5
6.955,20.5
7.055,20.8
7.156,20.8
7.254,20.5
7.357,20.8
7.458,20.8
7.554,20.8
7.662,20.8
7.757,20.8
7.861,20.8
7.961,20.8
8.058,20.8
8.16,20.8
8.259,21.0
8.36,20.8
8.464,20.8
8.564,21.0
