Fri Nov 29 2019 14:42:37 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.014,97.3
0.106,96.8
0.202,97.3
0.293,96.8
0.389,96.8
0.481,96.3
0.569,96.3
0.663,96.3
0.758,79.0
0.85,65.3
0.949,53.6
1.037,43.5
1.131,35.3
1.224,28.7
1.318,23.2
1.411,18.1
1.501,14.5
1.594,11.0
1.696,8.4
1.779,5.9
1.876,3.9
1.972,2.3
2.062,1.3
2.157,0.3
2.249,0.3
2.343,-0.2
2.434,-0.2
2.527,-0.2
2.617,-0.2
2.712,-0.2
2.804,-0.2
2.897,-0.2
2.994,-0.2
3.087,-0.2
3.181,-0.2
3.28,-0.7
3.367,-0.2
3.46,-0.7
3.553,-0.7
3.642,-0.2
3.738,-0.7
3.83,-0.2
3.923,-0.7
4.019,-0.2
4.11,-0.2
4.204,-0.7
4.298,-0.2
4.39,-0.7
4.483,-0.2
4.577,-0.2
4.666,-0.7
4.759,-0.2
4.855,-0.7
4.947,-0.2
5.043,-0.2
5.135,-0.7
5.229,-0.2
5.329,-0.7
5.414,-0.2
5.508,-0.7
5.602,-0.7
5.694,-0.2
5.784,-0.7
5.877,-0.2
5.972,-0.2
6.066,-0.7
6.158,-0.7
6.253,-0.7
6.345,-0.2
6.44,-0.7
6.533,-0.2
6.673,-0.7
6.814,-0.2
6.832,-0.2
6.95,-0.2
7.078,-0.7
7.102,-0.7
7.215,-0.2
7.305,-0.2
7.368,-0.7
7.463,-0.2
7.556,-0.2
7.649,-0.2
7.74,-0.7
7.832,-0.7
7.93,-0.2
8.026,-0.7
8.116,-0.2
8.208,-0.7
8.301,-0.7
8.395,-0.2
8.488,-0.7
8.583,-0.2
8.675,-0.7
8.769,-0.2
8.862,-0.2
8.952,-0.7
9.046,-0.2
9.142,-0.2
9.233,-0.7
9.325,-0.2
9.419,-0.2
9.512,-0.2
9.605,-0.7
9.7,-0.2
9.788,-0.2
9.896,-0.7
9.979,-0.7
10.067,-0.7
10.184,-0.2
10.265,-0.2
10.354,-0.7
10.444,-0.2
10.537,-0.7
10.629,-0.2
10.723,-0.7
10.815,-0.2
10.911,-0.2
11,-0.2
11.102,-0.2
11.19,-0.2
11.284,-0.2
11.374,-0.2
11.467,-0.7
11.566,-0.2
11.653,-0.2
