Fri Nov 29 2019 14:40:10 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.025,96.4
0.117,95.4
0.21,95.4
0.304,95.4
0.397,95.4
0.496,95.4
0.636,94.9
0.676,94.4
0.77,77.6
0.863,63.4
0.957,52.3
1.048,42.6
1.142,35.0
1.239,28.4
1.329,22.8
1.427,18.3
1.513,14.2
1.612,10.6
1.698,8.1
1.794,5.6
1.889,4.0
1.984,2.5
2.073,1.5
2.165,0.5
2.259,-0.0
2.352,-0.0
2.445,-0.5
2.538,-0.0
2.635,-0.5
2.728,-0.5
2.818,-0.5
2.912,-0.5
3.007,-0.0
3.099,-0.5
3.191,-0.0
3.285,-0.5
3.379,-0.0
3.471,-0.5
3.561,-0.5
3.661,-0.0
3.746,-0.5
3.842,-0.0
3.938,-0.5
4.031,-0.5
4.124,-0.0
4.216,-0.5
4.308,-0.5
4.401,-0.5
4.494,-0.5
4.59,-0.0
4.683,-0.5
4.773,-0.0
4.868,-0.5
4.964,-0.0
5.055,-0.0
5.158,-0.5
5.242,-0.0
5.335,-0.5
5.428,-0.0
5.519,-0.0
5.61,-0.0
5.709,-0.0
5.798,-0.5
5.891,-0.0
5.987,-0.0
6.085,-0.5
6.172,-0.0
6.266,-0.5
6.359,-0.0
6.452,-0.0
6.544,-0.0
6.634,-0.0
6.732,-0.5
6.824,-0.0
6.913,-0.0
7.011,-0.0
7.111,-0.0
7.196,-0.5
7.288,-0.0
7.382,-0.0
7.478,-0.0
7.567,-0.0
7.661,-0.0
7.754,-0.0
7.852,-0.5
7.938,-0.0
8.034,-0.0
8.134,-0.0
8.219,-0.0
8.313,-0.5
8.409,-0.0
8.5,-0.0
8.592,-0.0
8.691,-0.0
8.779,-0.5
8.869,-0.0
8.965,-0.0
9.058,-0.0
9.156,-0.0
9.243,-0.0
9.338,-0.0
9.429,-0.0
9.525,-0.0
