Mon Dec 23 2019 18:37:15 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.088,0.1
0.21,0.1
0.339,0.0
0.491,0.1
0.52,0.2
0.605,0.2
0.842,3.0
0.892,47.5
0.927,98.6
0.974,94.0
1.066,84.0
1.161,75.8
1.262,67.0
1.358,58.9
1.459,51.4
1.558,44.3
1.835,37.6
1.856,31.3
1.867,25.0
1.947,19.3
2.045,13.8
2.14,8.6
2.238,4.1
2.336,0.0
2.44,-3.6
2.532,-7.1
2.629,-10.3
2.73,-13.3
2.828,-16.1
3.071,-18.7
3.131,-21.2
3.137,-23.5
3.215,-25.7
3.316,-27.7
3.415,-29.6
3.512,-31.4
3.61,-32.9
3.755,-34.3
3.809,-35.5
3.922,-36.5
4.027,-37.4
4.355,-38.0
4.358,-38.6
4.361,-39.3
4.432,-39.7
4.497,-40.0
4.584,-40.4
4.709,-40.6
4.785,-40.7
4.889,-41.0
4.974,-41.2
5.072,-41.3
5.173,-41.4
5.304,-41.5
5.592,-41.6
5.598,-41.6
5.606,-41.9
5.678,-42.0
5.757,-42.0
5.856,-42.5
5.956,-42.9
6.054,-42.9
6.154,-42.9
6.247,-42.8
6.348,-42.9
6.442,-43.0
6.553,-43.2
6.643,-43.2
6.875,-43.1
6.883,-43.3
6.934,-43.4
7.036,-43.4
7.13,-43.4
7.233,-43.4
7.352,-43.5
7.457,-43.5
7.517,-43.6
7.615,-43.6
7.716,-43.7
7.81,-43.7
7.914,-43.7
8.017,-43.7
8.281,-43.8
8.307,-43.9
8.325,-43.9
8.397,-43.8
8.494,-43.8
8.592,-43.9
8.692,-44.0
8.789,-44.0
8.922,-44.0
9.052,-44.0
9.082,-44.0
9.194,-44.0
9.308,-44.0
9.561,-44.0
9.564,-43.9
9.635,-43.9
9.668,-43.9
9.768,-43.9
9.865,-44.0
9.962,-43.9
10.066,-43.8
10.158,-43.8
10.257,-43.8
10.352,-43.8
10.463,-43.8
10.549,-43.8
