Mon Dec 23 2019 18:38:57 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.069,99.0
0.084,98.5
0.249,98.5
0.281,99.0
0.48,99.0
0.483,101.0
0.775,91.8
0.776,90.8
0.85,74.4
0.9,72.3
1.04,61.0
1.077,59.0
1.233,50.3
1.269,47.7
1.427,41.0
1.465,39.5
1.66,33.3
1.662,34.9
1.953,27.2
1.955,28.7
2.041,22.6
2.042,21.0
2.211,17.9
2.241,16.9
2.411,13.8
2.442,13.3
2.604,10.8
2.638,10.8
2.797,7.7
2.825,9.7
3.025,6.2
3.026,5.1
3.311,4.1
3.314,4.1
3.399,3.1
3.418,2.6
3.582,2.0
3.614,4.1
3.775,1.0
3.807,3.1
3.971,0.5
4.004,1.0
4.185,0.5
4.207,1.0
4.481,0.5
4.483,2.6
4.562,0.0
4.595,0.0
4.759,0.0
4.787,0.5
4.953,0.5
4.985,0.5
5.149,0.0
5.186,0.0
5.336,0.0
5.373,0.5
5.537,0.0
5.625,0.5
5.88,0.5
5.882,2.6
5.948,0.5
5.961,0.0
6.133,0.5
6.159,1.0
6.317,1.0
6.348,1.0
6.51,1.5
6.548,1.0
6.708,1.0
6.736,1.0
7.068,1.0
7.073,3.6
7.138,1.5
7.152,2.0
7.295,1.5
7.347,2.0
7.49,2.0
7.522,4.1
7.689,2.6
7.714,1.0
7.884,3.1
7.919,2.6
8.074,2.6
8.111,2.0
8.438,2.6
8.441,4.6
8.562,3.1
8.567,5.1
8.665,3.1
8.693,3.1
8.862,3.1
8.887,2.6
9.057,3.1
9.089,3.1
9.252,3.1
9.288,3.6
9.487,3.6
9.496,3.1
9.773,3.1
9.777,3.6
9.843,3.6
9.879,4.1
10.031,4.1
10.07,3.6
10.23,4.1
10.268,3.6
10.422,3.6
10.451,4.1
10.617,4.1
10.68,4.6
