Sat Nov 30 2019 13:16:35 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.003,100.0
0.094,99.5
0.191,99.5
0.282,99.5
0.366,99.0
0.459,99.0
0.56,98.5
0.659,99.0
0.738,81.2
0.841,66.5
0.925,54.8
1.023,44.7
1.115,36.5
1.208,29.4
1.306,23.9
1.396,19.3
1.485,14.7
1.578,11.7
1.678,8.6
1.765,6.1
1.859,4.6
1.951,2.5
2.048,1.5
2.14,0.5
2.234,0.0
2.328,0.0
2.42,0.0
2.514,0.0
2.612,-0.5
2.716,-0.5
2.797,0.0
2.886,-0.5
2.982,0.0
3.072,-0.5
3.167,0.0
3.26,0.0
3.354,-0.5
3.449,0.0
3.547,-0.5
3.634,0.0
3.734,0.0
3.819,0.0
3.919,0.0
4.015,0.0
4.099,0.0
4.189,0.0
4.282,0.0
4.377,0.0
4.473,0.0
4.563,0.0
4.661,0.5
4.754,0.0
4.853,0.5
4.938,0.0
5.036,0.0
5.124,0.5
5.221,0.0
5.311,0.5
5.407,0.0
5.502,0.5
5.596,0.5
5.687,0.0
5.782,0.5
5.88,0.5
5.965,0.5
6.061,0.5
6.153,0.0
6.244,0.5
6.339,0.0
6.434,0.5
6.525,0.5
6.619,0.0
6.721,0.5
6.807,0.0
6.903,0.0
6.992,0.5
7.086,0.0
7.177,0.5
7.273,0.0
7.366,0.5
7.462,0.5
7.551,0.0
7.644,0.5
7.737,0.5
7.831,0.5
7.926,0.5
8.016,0.0
8.112,0.5
8.205,0.5
8.299,0.5
8.39,0.5
8.484,0.5
8.577,0.5
