Sat Nov 30 2019 13:14:10 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.047,91.4
0.133,91.4
0.227,91.4
0.321,91.4
0.414,91.4
0.512,90.9
0.599,90.9
0.694,90.9
0.791,74.1
0.884,60.9
1.035,49.8
1.078,41.1
1.175,33.0
1.253,26.4
1.346,21.3
1.442,16.8
1.532,13.2
1.63,10.2
1.719,7.1
1.818,5.6
1.909,3.0
2.003,2.0
2.095,1.0
2.19,0.5
2.285,0.0
2.379,0.0
2.47,0.0
2.571,0.0
2.658,-0.5
2.749,0.0
2.845,0.0
2.935,0.0
3.027,-0.5
3.121,-0.5
3.221,0.0
3.315,-0.5
3.402,0.0
3.508,0.0
3.589,-0.5
3.689,0.0
3.772,-0.5
3.865,0.0
3.959,0.0
4.052,0.0
4.144,0.0
4.237,0.0
4.335,0.0
4.428,0.0
4.526,0.0
4.614,0.0
4.715,0.0
4.8,0.0
4.894,0.0
4.986,0.0
5.081,0.5
5.184,0.0
5.266,0.0
5.361,0.0
5.457,0.0
5.547,0.5
5.64,0.0
5.735,0.0
5.829,0.0
5.92,0.5
6.019,0.5
6.106,0.0
6.201,0.5
6.292,0.0
6.386,0.5
6.48,0.5
6.574,0.0
6.668,0.5
6.768,0.0
6.855,0.5
6.943,0.5
7.038,0.0
7.13,0.5
7.227,0.5
7.316,0.0
7.409,0.5
7.502,0.0
7.598,0.5
7.692,0.0
7.785,0.5
7.889,0.0
7.973,0.0
8.094,0.5
8.164,0.5
8.252,0.5
8.349,0.5
8.439,0.0
8.532,0.5
8.625,0.5
