Wed Nov 27 2019 19:57:30 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.003,21.0
0.096,21.0
0.199,21.0
0.299,21.3
0.4,21.0
0.516,21.0
0.647,21.0
0.705,21.0
0.806,21.0
0.905,21.0
1.008,21.0
1.115,21.0
1.201,21.0
1.307,21.0
1.414,21.0
1.508,21.0
1.605,21.0
1.709,21.0
1.814,21.0
1.924,21.0
2.017,21.0
2.106,21.0
2.206,21.0
2.306,21.0
2.425,21.0
2.507,21.0
2.608,21.3
2.71,21.0
2.811,21.0
2.912,21.3
3.014,21.0
3.116,21.0
3.222,21.0
3.316,21.0
3.415,21.0
3.515,20.8
3.615,21.0
3.716,21.0
3.842,21.0
3.922,21.3
4.02,21.0
4.122,21.0
4.232,21.0
4.344,21.0
4.443,21.0
4.545,21.3
4.646,21.0
4.744,21.0
4.844,19.5
4.942,18.0
5.043,15.5
5.146,14.3
5.286,14.0
5.345,13.3
5.448,14.5
5.545,15.0
5.658,15.3
5.745,15.8
5.849,16.3
5.948,16.5
6.049,17.0
6.151,17.5
6.248,17.8
6.35,18.0
6.455,18.3
6.552,18.5
6.651,18.5
6.753,18.5
6.855,18.8
6.954,18.8
7.064,18.8
7.163,18.8
7.266,18.8
7.367,19.0
7.466,19.0
7.567,19.0
7.667,19.3
7.771,19.3
7.872,19.3
7.987,19.3
8.073,18.8
8.213,19.3
8.288,19.3
8.375,19.0
8.476,19.5
8.579,19.5
8.683,19.5
8.778,19.5
8.88,19.5
8.98,19.5
9.08,19.5
9.179,19.8
9.279,19.8
9.381,19.5
9.494,19.8
9.582,19.8
