Sat Nov 30 2019 12:44:59 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.042,91.4
0.131,90.9
0.223,90.9
0.331,90.4
0.464,90.4
0.5,89.8
0.649,90.4
0.69,89.8
0.785,73.6
0.877,60.4
0.981,49.2
1.063,41.1
1.158,33.0
1.263,26.4
1.348,21.8
1.439,16.8
1.531,13.2
1.62,10.2
1.713,7.1
1.81,5.1
1.903,3.6
1.999,2.0
2.101,1.0
2.185,0.5
2.275,0.0
2.369,0.0
2.465,0.0
2.553,-0.5
2.646,0.0
2.739,0.0
2.836,-0.5
2.927,0.0
3.023,-0.5
3.124,0.0
3.21,0.0
3.303,0.0
3.395,0.0
3.49,-0.5
3.587,-0.5
3.674,-0.5
3.782,-0.5
3.875,0.0
3.974,0.0
4.051,0.0
4.153,0.0
4.246,0.5
4.329,0.0
4.423,0.0
4.515,0.0
4.608,0.0
4.721,0.0
4.834,0.5
4.888,0.0
4.983,0.5
5.092,0.0
5.188,0.0
5.265,0.5
5.356,0.0
5.451,0.5
5.544,0.0
5.639,0.5
5.726,0.5
5.822,0.0
5.913,0.5
6.03,0.5
6.101,0.5
6.202,0.5
6.295,0.0
6.387,0.5
6.468,0.0
6.564,0.5
6.657,0.0
6.75,0.0
6.842,0.5
6.945,0.5
7.032,0.5
7.128,0.5
7.227,0.0
7.326,0.5
7.406,0.0
7.498,0.5
7.592,0.5
7.685,0.0
7.778,0.5
7.871,0.0
7.965,0.5
8.059,0.0
8.152,0.5
8.252,0.5
8.348,0.0
8.48,0.5
8.53,0.5
8.661,0.5
