Mon Dec 23 2019 18:38:21 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.095,100.0
0.146,100.0
0.321,100.0
0.326,102.0
0.512,102.0
0.514,100.0
0.686,92.3
0.773,89.7
1.057,75.4
1.06,73.8
1.077,62.0
1.101,60.0
1.263,50.8
1.351,49.2
1.509,41.5
1.512,42.6
1.679,34.4
1.68,35.4
1.852,27.7
1.876,26.7
2.04,22.1
2.143,21.5
2.418,17.9
2.431,17.9
2.443,14.9
2.504,13.8
2.667,11.3
2.67,13.3
2.861,8.2
2.862,8.2
3.029,6.7
3.153,6.2
3.268,4.6
3.273,6.7
3.629,3.1
3.635,5.1
3.661,1.5
3.665,4.1
3.818,1.0
3.846,1.0
4,1.0
4.028,0.5
4.196,0.5
4.227,0.0
4.39,0.0
4.453,0.5
4.845,0.0
4.856,2.6
4.862,0.5
4.864,2.0
5.009,0.0
5.01,0.0
5.17,0.0
5.205,0.5
5.364,0.5
5.399,0.0
5.566,0.0
5.626,0.0
5.761,0.5
5.826,0.5
6.094,0.5
6.098,2.6
6.27,1.0
6.273,3.1
6.371,1.0
6.38,0.5
6.546,1.0
6.577,1.0
6.791,1.0
6.821,1.5
6.982,1.5
6.983,3.6
7.433,1.5
7.436,3.6
7.443,1.0
7.446,1.5
7.603,2.0
7.606,4.1
7.716,2.0
7.788,1.5
7.91,2.0
7.975,2.0
8.145,2.0
8.15,4.6
8.339,2.6
8.342,4.6
8.51,2.6
8.709,2.0
8.807,2.6
8.809,4.6
8.894,3.1
8.962,3.1
9.135,3.1
9.137,5.1
9.317,3.1
9.32,5.1
9.5,2.6
9.515,3.1
9.68,3.1
9.724,3.6
9.974,3.6
9.988,3.1
10.079,3.1
10.129,5.6
10.256,3.1
10.319,3.6
10.482,3.6
10.483,5.6
10.664,4.1
10.69,3.6
