Mon Dec 23 2019 18:16:23 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.52,0.0
0.527,0.0
0.533,0.0
0.54,0.0
0.549,0.0
0.562,-1.0
0.568,0.0
0.579,-0.5
0.798,0.0
0.801,0.0
0.802,2.0
0.949,0.5
1.068,0.0
1.197,0.5
1.199,1.5
1.355,0.0
1.368,0.0
1.862,0.0
1.864,2.0
1.868,0.5
1.874,2.0
1.932,0.0
1.957,0.0
2.117,-0.5
2.146,0.0
2.311,0.0
2.34,2.0
2.514,0.0
2.54,0.0
2.698,0.0
2.73,-0.5
2.896,-0.5
2.936,0.0
3.095,0.0
3.122,0.5
3.288,0.5
3.32,0.0
3.483,0.0
3.516,0.0
3.701,0.0
3.716,2.0
3.877,0.0
3.919,0.5
4.077,0.0
4.098,0.0
4.268,0.0
4.308,0.0
4.462,-0.5
4.495,0.0
4.682,0.0
4.697,0.5
4.855,0.5
4.887,0.0
5.066,0.0
5.082,0.0
5.249,0.0
5.279,0.0
5.44,0.0
5.472,-1.0
5.64,0.5
5.67,0.0
5.839,0.0
5.868,2.0
6.027,0.0
6.063,0.0
6.225,0.0
6.255,0.5
6.423,0.5
6.455,0.0
6.616,0.0
6.648,0.0
6.813,0.0
6.845,0.0
