Fri Nov 29 2019 14:38:23 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.063,-0.3
0.16,-0.3
0.252,-0.3
0.343,-0.3
0.433,-0.3
0.532,-0.3
0.62,0.1
0.714,7.3
0.807,15.5
0.9,13.9
0.993,11.2
1.082,9.2
1.183,7.6
1.319,6.4
1.363,5.3
1.473,4.5
1.562,3.7
1.646,3.0
1.739,2.4
1.832,1.8
1.925,1.4
2.019,1.1
2.113,0.8
2.201,0.6
2.301,0.4
2.386,0.3
2.487,0.3
2.6,0.3
2.696,0.3
2.767,0.3
2.859,0.3
2.95,0.3
3.045,0.3
3.143,0.2
3.229,0.2
3.325,0.2
3.417,0.2
3.505,0.2
3.604,0.2
3.7,0.2
3.787,0.2
3.879,0.2
3.976,0.2
4.078,0.2
4.165,0.2
4.253,0.2
4.349,0.2
4.435,0.2
4.535,0.2
4.63,0.2
4.716,0.2
4.818,0.1
4.906,0.1
4.997,0.1
5.092,0.1
5.186,0.1
5.273,0.1
5.374,0.1
5.46,0.1
5.557,0.1
5.652,0.1
5.742,0.1
5.836,0.1
5.929,0.1
6.022,0.1
6.116,0.1
6.207,0.1
6.298,0.1
6.396,0.1
6.485,0.1
6.58,0.1
6.687,0.1
6.774,0.1
6.861,0.1
6.95,0.1
7.043,0.1
7.134,0.1
7.23,0.1
7.324,0.1
7.416,0.1
7.51,0.1
7.603,0.1
7.702,0.1
7.798,0.1
7.887,0.1
7.979,0.1
8.073,0.1
8.163,0.1
8.258,0.1
8.346,0.1
8.446,0.1
8.534,0.1
8.629,0.1
8.725,0.1
8.824,0.1
8.91,0.1
9.011,0.1
9.097,0.1
9.189,0.1
9.283,0.1
9.372,0.1
9.469,0.1
