Sat Nov 30 2019 13:16:35 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.006,-0.4
0.096,-0.4
0.193,-0.4
0.283,-0.4
0.368,-0.4
0.46,-0.4
0.562,-0.4
0.661,0.2
0.739,9.5
0.842,19.6
0.927,17.5
1.024,14.3
1.118,11.7
1.209,9.7
1.307,8.0
1.399,6.5
1.486,5.3
1.581,4.2
1.68,3.3
1.766,2.5
1.861,1.9
1.953,1.3
2.053,0.9
2.143,0.6
2.236,0.3
2.331,0.1
2.423,0.0
2.517,-0.0
2.614,-0.0
2.717,-0.0
2.799,-0.0
2.888,-0.1
2.985,-0.1
3.074,-0.0
3.169,-0.1
3.263,-0.0
3.355,-0.1
3.452,-0.1
3.551,-0.0
3.639,-0.1
3.735,-0.0
3.822,-0.0
3.922,-0.0
4.017,-0.0
4.1,-0.0
4.191,-0.0
4.284,-0.0
4.378,-0.0
4.474,-0.0
4.564,-0.0
4.663,-0.0
4.756,-0.0
4.855,-0.0
4.94,-0.0
5.038,-0.0
5.127,-0.0
5.22,-0.1
5.313,-0.1
5.41,-0.0
5.503,-0.0
5.599,-0.1
5.69,-0.1
5.784,-0.1
5.883,-0.1
5.968,-0.1
6.063,-0.1
6.156,-0.1
6.246,-0.1
6.341,-0.0
6.432,-0.1
6.526,-0.1
6.62,-0.1
6.722,-0.1
6.809,-0.1
6.904,-0.1
6.993,-0.1
7.089,-0.1
7.18,-0.1
7.277,-0.1
7.37,-0.1
7.468,-0.1
7.553,-0.1
7.646,-0.1
7.74,-0.1
7.833,-0.1
7.929,-0.1
8.019,-0.1
8.116,-0.1
8.207,-0.1
8.301,-0.1
8.392,-0.1
8.486,-0.1
8.58,-0.1
