Thu Dec 05 2019 19:13:21 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.056,-0.0
0.155,-0.0
0.256,-0.0
0.36,-0.0
0.462,-0.0
0.57,-0.0
0.671,0.2
0.776,6.7
0.877,20.0
0.976,22.9
1.083,23.0
1.186,23.0
1.288,23.1
1.388,23.1
1.491,23.2
1.595,23.3
1.696,23.3
1.802,23.4
1.904,23.4
2.011,23.5
2.109,23.5
2.218,23.6
2.316,23.6
2.418,23.6
2.522,23.6
2.625,23.7
2.724,23.7
2.83,23.7
2.934,23.8
3.032,23.8
3.136,23.9
3.241,23.9
3.347,23.9
3.448,23.9
3.552,24.0
3.652,24.0
3.76,24.0
3.866,24.0
3.977,24.0
4.063,24.1
4.169,24.1
4.271,24.1
4.382,24.1
4.482,24.1
4.588,24.2
4.693,24.2
4.793,24.2
4.895,24.2
4.995,24.2
5.094,24.2
5.197,24.3
5.299,24.2
5.406,24.2
5.506,24.3
5.609,24.3
5.712,24.3
5.815,24.3
5.916,24.3
6.021,24.3
6.139,24.3
6.232,24.3
6.332,24.4
6.451,24.4
6.545,24.4
6.647,24.3
6.737,21.7
6.844,8.0
6.949,0.9
7.05,0.7
7.157,0.7
7.265,0.6
7.356,0.6
7.483,0.6
7.561,0.6
7.665,0.6
7.768,0.6
7.869,0.6
7.977,0.6
8.08,0.6
8.203,0.6
8.283,0.6
8.383,0.6
8.484,0.5
8.589,0.5
8.688,0.5
8.794,0.5
8.899,0.5
9.004,0.5
9.109,0.5
9.208,0.5
9.313,0.5
9.416,0.5
9.527,0.5
9.618,0.5
9.72,0.5
9.827,0.5
9.928,0.5
10.027,0.5
10.135,0.5
10.247,0.5
10.341,0.5
10.443,0.5
10.546,0.5
10.647,0.5
10.769,0.5
10.857,0.5
10.96,0.4
11.061,0.5
11.167,0.4
11.273,0.4
11.366,0.4
11.472,0.4
