Mon Dec 23 2019 18:38:57 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.072,0.0
0.167,0.1
0.262,0.1
0.362,0.0
0.481,0.0
0.627,0.2
0.78,3.0
0.787,47.8
0.854,100.1
0.953,96.3
1.047,87.5
1.143,80.2
1.244,72.6
1.339,64.1
1.437,55.4
1.539,47.4
1.661,40.0
1.856,33.3
1.954,27.5
1.956,22.3
2.043,17.2
2.129,12.4
2.221,8.0
2.324,4.0
2.418,0.5
2.516,-2.9
2.613,-6.2
2.71,-9.3
2.805,-12.1
2.903,-14.7
3.025,-17.0
3.173,-19.1
3.313,-21.0
3.363,-22.7
3.412,-24.2
3.497,-25.7
3.59,-27.2
3.689,-28.5
3.785,-29.6
3.884,-30.5
3.986,-31.4
4.081,-32.1
4.188,-32.7
4.402,-33.0
4.481,-33.5
4.492,-33.8
4.567,-34.1
4.666,-34.4
4.766,-34.5
4.864,-34.6
4.961,-34.8
5.058,-35.0
5.156,-35.1
5.254,-35.2
5.35,-35.3
5.45,-35.4
5.58,-35.5
5.701,-35.6
5.881,-35.7
5.889,-35.9
5.946,-36.4
6.037,-36.6
6.141,-36.6
6.228,-36.7
6.331,-36.8
6.427,-36.8
6.524,-36.8
6.623,-36.9
6.717,-37.0
6.822,-37.1
7.071,-37.2
7.073,-37.3
7.139,-37.3
7.206,-37.3
7.307,-37.3
7.406,-37.4
7.5,-37.4
7.602,-37.4
7.696,-37.5
7.796,-37.6
7.892,-37.5
7.991,-37.6
8.088,-37.6
8.191,-37.6
8.439,-37.6
8.553,-37.5
8.563,-37.5
8.577,-37.6
8.678,-37.7
8.775,-37.6
8.871,-37.6
8.969,-37.5
9.065,-37.5
9.166,-37.4
9.261,-37.4
9.36,-37.4
9.495,-37.4
9.702,-37.4
9.776,-37.4
9.778,-37.5
9.849,-37.4
9.945,-37.4
10.043,-37.3
10.14,-37.3
10.239,-37.4
10.335,-37.4
10.432,-37.3
10.532,-37.4
10.628,-37.4
10.796,-37.3
