Wed Nov 27 2019 19:47:06 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.065,79.8
0.166,79.8
0.27,79.8
0.366,79.8
0.466,79.8
0.565,79.3
0.669,79.8
0.779,79.3
0.872,79.3
0.965,79.3
1.08,79.3
1.184,79.3
1.284,78.9
1.385,78.9
1.482,78.9
1.581,78.9
1.681,78.9
1.782,78.9
1.88,78.9
1.983,78.9
2.084,78.4
2.184,78.4
2.285,78.9
2.393,78.4
2.487,78.4
2.586,78.9
2.688,78.4
2.787,78.4
2.895,78.4
2.988,78.4
3.09,78.4
3.189,78.4
3.291,77.9
3.391,77.9
3.498,77.9
3.603,77.9
3.703,77.4
3.793,77.4
3.894,77.4
3.996,77.4
4.096,77.4
4.196,77.4
4.299,77.0
4.398,77.0
4.499,77.4
4.597,77.0
4.703,77.0
4.804,77.0
4.903,77.0
5.006,77.0
5.107,77.0
5.206,77.0
5.308,77.0
5.408,77.0
5.505,76.5
5.608,76.5
5.714,76.5
5.812,76.5
5.919,76.5
6.02,76.5
6.12,76.5
6.219,76.5
6.322,76.5
6.423,76.5
6.526,76.0
6.63,76.0
6.736,76.0
6.834,76.0
6.927,76.0
7.03,76.0
7.129,75.5
7.23,75.5
7.33,75.5
7.429,75.5
7.531,75.5
7.632,75.5
7.732,75.5
7.837,75.5
7.932,75.5
8.033,75.5
8.132,76.0
8.232,75.5
8.334,75.5
8.436,75.5
8.536,75.0
8.637,75.0
8.736,75.0
8.837,75.0
8.94,75.0
9.04,75.0
9.142,75.0
9.241,75.0
9.341,75.0
9.442,75.0
9.545,75.0
