Fri Nov 29 2019 14:39:02 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.085,95.4
0.178,95.4
0.274,94.9
0.37,94.9
0.46,94.9
0.552,94.4
0.645,92.9
0.735,77.6
0.835,63.9
0.934,52.3
1.027,42.6
1.113,35.0
1.205,27.9
1.303,22.8
1.392,18.3
1.486,14.2
1.576,11.1
1.666,7.6
1.762,6.1
1.855,4.0
1.955,2.5
2.042,1.5
2.135,0.5
2.229,0.5
2.322,-0.5
2.413,-0.5
2.508,-0.5
2.6,-0.5
2.699,-2.6
2.784,-0.5
2.88,-0.0
2.975,-0.5
3.069,-0.5
3.16,-0.5
3.253,-0.5
3.346,-0.0
3.44,-0.5
3.529,-0.5
3.627,-0.5
3.716,-0.5
3.814,-0.5
3.907,-0.5
3.998,-0.5
4.089,-0.5
4.183,-0.5
4.276,-0.0
4.37,-0.5
4.463,-0.5
4.56,-0.0
4.649,-0.5
4.745,-1.6
4.832,-0.5
4.93,-0.5
5.028,-0.0
5.117,-0.5
5.207,-0.0
5.307,-0.5
5.394,-0.0
5.487,-0.0
5.579,-0.5
5.675,-0.5
5.771,-0.5
5.856,-0.0
5.952,-0.0
6.047,-0.0
6.139,-0.0
6.233,-0.0
6.325,-0.0
6.422,-0.5
6.512,-0.0
6.604,-0.0
6.696,-0.5
6.795,-2.1
6.881,-0.0
6.984,-0.0
7.075,-0.0
7.167,-0.0
7.257,-0.0
7.349,-0.5
7.443,-0.0
7.537,-0.0
7.629,-0.0
7.732,-0.0
7.829,-0.5
7.906,-0.0
8.001,-0.0
8.098,-0.0
8.193,-0.0
8.279,-0.5
8.38,-0.0
8.467,-0.0
8.559,-0.0
8.65,-0.0
8.74,-0.5
8.84,-0.0
8.926,-0.0
9.024,-0.0
9.122,-0.0
9.216,-0.0
9.306,-0.0
9.404,-0.5
9.494,-0.0
