Fri Nov 29 2019 14:37:57 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.002,97.9
0.086,97.9
0.181,97.9
0.274,98.5
0.367,97.9
0.46,97.9
0.551,97.9
0.646,97.9
0.741,82.7
0.833,74.6
0.926,67.0
1.024,60.9
1.11,55.8
1.204,51.8
1.299,48.7
1.391,46.7
1.483,43.6
1.579,41.6
1.668,40.6
1.767,38.0
1.853,38.0
1.949,36.5
2.048,36.0
2.144,35.0
2.23,34.0
2.323,33.5
2.426,33.0
2.511,33.0
2.602,31.9
2.693,31.9
2.792,31.4
2.877,30.9
2.975,30.9
3.073,30.4
3.162,30.9
3.259,30.4
3.345,30.4
3.448,29.9
3.532,29.9
3.626,30.4
3.718,29.9
3.809,27.9
3.907,29.9
3.995,29.4
4.094,29.9
4.188,29.4
4.281,29.4
4.373,29.4
4.467,29.4
4.562,29.4
4.649,28.9
4.74,37.0
4.834,43.1
4.926,49.7
5.026,55.8
5.12,61.4
5.209,67.5
5.305,71.5
5.394,76.1
5.487,80.2
5.582,83.7
5.708,87.3
5.835,87.8
5.864,91.8
5.955,93.9
6.046,94.9
6.143,95.9
6.231,96.4
6.327,97.4
6.442,97.9
6.509,97.9
6.605,98.5
6.708,98.5
6.831,83.2
6.886,72.1
6.98,73.1
7.068,73.1
7.169,73.1
7.257,73.6
7.351,73.1
7.443,73.1
7.537,73.1
7.629,73.1
7.722,73.1
7.819,73.1
7.91,73.1
8.002,73.1
8.142,73.1
8.236,73.1
8.287,78.7
8.375,84.2
8.468,84.2
8.574,84.8
8.703,89.3
8.748,91.8
8.837,92.9
8.933,91.8
9.023,91.8
9.12,91.8
9.215,91.3
9.311,91.3
9.399,91.3
9.492,91.3
